Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	Fisher exact test rank	Fisher exact test p-value	GSEA rank	GSEA p-value
KEGG_HOMOLOGOUS_RECOMBINATION	1	7.653336421492575e-05	0.0013469872101826933	1.0	1	0.004902345469643801	1	0.004902345469643801	1	0.081911266
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	2	0.07276750964471791	0.5336284040612648	8.666666666666666	12	0.08915065339095504	10	0.08915065339095504	4	0.56790125
KEGG_MTOR_SIGNALING_PATHWAY	3	0.3401509642805285	1.0	14.0	14	0.15474031806343078	17	0.15474031806343078	11	0.90640396
KEGG_BLADDER_CANCER	4	0.13576356932571776	0.7271100441038586	15.0	10	0.14200964902135554	14	0.14200964902135554	21	0.594132
KEGG_PANCREATIC_CANCER	5	0.0053440905259133226	0.07235076404313422	15.333333333333334	2	0.028282955063718102	2	0.028282955063718102	42	0.27154046
KEGG_CARDIAC_MUSCLE_CONTRACTION	6	0.0062469389442388655	0.07752172479786129	18.0	4	0.03449761567265892	4	0.03449761567265892	46	0.2452381
KEGG_DILATED_CARDIOMYOPATHY	7	0.008958529971116002	0.09110065462345245	18.333333333333332	6	0.04470075665150321	6	0.04470075665150321	43	0.24096386
KEGG_SPLICEOSOME	8	0.2031489876719646	0.9931728286184935	21.0	31	0.3779977109049456	30	0.3779977109049456	2	0.20700637
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	9	0.004485194992527046	0.06578285989039669	21.333333333333332	5	0.03862537260051397	5	0.03862537260051397	54	0.16049382
KEGG_RENAL_CELL_CARCINOMA	10	0.1404644403382454	0.7271100441038586	24.333333333333332	18	0.23015623748529943	21	0.23015623748529943	34	0.34793815
KEGG_TYPE_II_DIABETES_MELLITUS	11	0.0660362812913564	0.5282902503308512	26.0	13	0.16103499242236424	18	0.16103499242236424	47	0.265
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	12	0.16600564859539685	0.8347712615082813	26.666666666666668	25	0.24158515430829058	23	0.24158515430829058	32	0.39058822
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	13	0.1402305238141035	0.7271100441038586	29.666666666666668	29	0.24723614356416193	24	0.24723614356416193	36	0.3075
KEGG_AXON_GUIDANCE	14	0.008373314976479257	0.09110065462345245	29.666666666666668	16	0.08396877874772998	9	0.08396877874772998	64	0.082914576
KEGG_MELANOMA	15	0.08882431765234361	0.5583242823861598	30.333333333333332	19	0.23302943209048974	22	0.23302943209048974	50	0.19023137
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	16	0.01913801228545646	0.16841450811201686	30.666666666666668	7	0.10600808994733664	11	0.10600808994733664	74	0.13729978
