Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	Fisher exact test rank	Fisher exact test p-value	GSEA rank	GSEA p-value
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1	0.0	0.0	1.3333333333333333	1	1.5685904218717607e-09	1	1.5685904218717607e-09	2	0.0
KEGG_GRAFT_VERSUS_HOST_DISEASE	2	0.0	0.0	4.333333333333333	3	2.7067891046381645e-07	3	2.7067891046381645e-07	7	0.0
KEGG_ALLOGRAFT_REJECTION	3	0.0	0.0	6.666666666666667	2	2.0281067082137954e-07	2	2.0281067082137954e-07	16	0.0
KEGG_AUTOIMMUNE_THYROID_DISEASE	4	0.0	0.0	7.333333333333333	7	1.264950729687257e-06	6	1.264950729687257e-06	9	0.0
KEGG_LEISHMANIA_INFECTION	5	0.0	0.0	7.666666666666667	8	6.80209228382508e-06	9	6.80209228382508e-06	6	0.0
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	6	0.0	0.0	9.666666666666666	13	0.00013395509839626938	12	0.00013395509839626938	4	0.0
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	7	0.0	0.0	9.666666666666666	10	1.15817317037166e-05	11	1.15817317037166e-05	8	0.0
KEGG_TYPE_I_DIABETES_MELLITUS	8	0.0	0.0	9.666666666666666	5	4.59754884358235e-07	4	4.59754884358235e-07	20	0.0
KEGG_FATTY_ACID_METABOLISM	9	0.0	0.0	10.666666666666666	14	0.0005260869862494118	15	0.0005260869862494118	3	0.0
KEGG_CELL_ADHESION_MOLECULES_CAMS	10	0.0	0.0	10.666666666666666	12	1.0555699918315025e-05	10	1.0555699918315025e-05	10	0.0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	11	0.0	0.0	11.0	16	0.011290453815927812	16	0.011290453815927812	1	0.0
KEGG_VIRAL_MYOCARDITIS	12	0.0	0.0	11.333333333333334	9	5.894015073077742e-06	8	5.894015073077742e-06	17	0.0
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	13	0.0	0.0	12.333333333333334	6	8.283323307613922e-07	5	8.283323307613922e-07	26	0.0
KEGG_ASTHMA	14	0.0	0.0	12.666666666666666	4	3.5750444180227725e-06	7	3.5750444180227725e-06	27	0.0
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	15	0.0	0.0	15.666666666666666	18	0.029032615121975434	18	0.029032615121975434	11	0.0
KEGG_HEMATOPOIETIC_CELL_LINEAGE	16	0.0	0.0	17.0	15	0.000299500689714874	13	0.000299500689714874	23	0.0
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	17	0.0	0.0	21.0	17	0.02754126399237493	17	0.02754126399237493	29	0.0
KEGG_PROPANOATE_METABOLISM	18	0.0012062715129457743	0.00624422900818989	25.0	24	0.11266381598391659	27	0.11266381598391659	24	0.0023255814
KEGG_PRION_DISEASES	19	1.7399217141976872e-07	9.279582475720998e-07	30.333333333333332	11	0.0003057440096035508	14	0.0003057440096035508	66	0.024271844
KEGG_GLUTATHIONE_METABOLISM	20	0.0	0.0	30.666666666666668	36	0.16728302279693283	38	0.16728302279693283	18	0.0
KEGG_PEROXISOME	21	0.0	0.0	31.333333333333332	43	0.2528452359667473	46	0.2528452359667473	5	0.0
KEGG_RETINOL_METABOLISM	22	0.0	0.0	32.0	39	0.21269077661678515	43	0.21269077661678515	14	0.0
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	23	0.001958841252655287	0.009576557235203625	32.0	29	0.13879728483333417	32	0.13879728483333417	35	0.0023640662
KEGG_BUTANOATE_METABOLISM	24	0.0	0.0	32.666666666666664	26	0.11927023638727523	28	0.11927023638727523	44	0.0
KEGG_INSULIN_SIGNALING_PATHWAY	25	0.0	0.0	35.0	31	0.08843672239233423	23	0.08843672239233423	51	0.0
KEGG_SPHINGOLIPID_METABOLISM	26	0.0017153423199074461	0.008625721380106015	35.666666666666664	44	0.13233661136613503	31	0.13233661136613503	32	0.0022727272
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	27	0.0	0.0	36.0	47	0.20381076481814062	42	0.20381076481814062	19	0.0
KEGG_PPAR_SIGNALING_PATHWAY	28	0.0	0.0	38.0	40	0.2272723334507054	44	0.2272723334507054	30	0.0
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	29	0.0	0.0	39.0	35	0.1734847530983269	40	0.1734847530983269	42	0.0
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	30	0.0	0.0	40.333333333333336	50	0.389531116317244	56	0.389531116317244	15	0.0
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	31	0.007932224289132237	0.03579670448428907	40.666666666666664	30	0.15157538122313946	35	0.15157538122313946	57	0.017073171
