NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN5	69	5.256509304046631	0.042616013	Yes	
row_1	SELE	134	4.373330593109131	0.07794867	Yes	
row_2	ITGA8	163	4.126761436462402	0.11189442	Yes	
row_3	ICAM3	178	4.034585952758789	0.14533183	Yes	
row_4	SELP	213	3.7350080013275146	0.17589337	Yes	
row_5	HLA-DRB1	276	3.3558928966522217	0.20276521	Yes	
row_6	HLA-DPA1	359	2.9972243309020996	0.22626762	Yes	
row_7	HLA-DPB1	366	2.9715375900268555	0.25097537	Yes	
row_8	SDC2	380	2.935678720474243	0.27525282	Yes	
row_9	CLDN23	416	2.834439516067505	0.29827365	Yes	
row_10	NEGR1	481	2.685302257537842	0.319507	Yes	
row_11	HLA-DRB5	486	2.671581506729126	0.34174672	Yes	
row_12	NCAM2	502	2.647216320037842	0.3635774	Yes	
row_13	HLA-DRA	561	2.526214361190796	0.3835941	Yes	
row_14	NRXN3	600	2.454336404800415	0.40338406	Yes	
row_15	HLA-DQA1	613	2.427675247192383	0.42343706	Yes	
row_16	NLGN4X	738	2.1863110065460205	0.43938163	Yes	
row_17	HLA-DMA	833	2.0303921699523926	0.4545844	Yes	
row_18	CNTNAP1	864	2.0008723735809326	0.47073624	Yes	
row_19	HLA-DMB	882	1.9655237197875977	0.48683572	Yes	
row_20	NRXN1	931	1.9068078994750977	0.5018656	Yes	
row_21	NRCAM	1010	1.8278326988220215	0.51567537	Yes	
row_22	HLA-DQB1	1046	1.7940911054611206	0.53000665	Yes	
row_23	VCAM1	1110	1.7279304265975952	0.54326224	Yes	
row_24	NECTIN1	1171	1.6703580617904663	0.556093	Yes	
row_25	NRXN2	1248	1.6082041263580322	0.5681057	Yes	
row_26	CD4	1258	1.6020355224609375	0.5813186	Yes	
row_27	CADM1	1359	1.5090386867523193	0.5920546	Yes	
row_28	HLA-DOA	1381	1.49512779712677	0.60415035	Yes	
row_29	PDCD1	1388	1.4924092292785645	0.61650366	Yes	
row_30	ESAM	1521	1.4012629985809326	0.62574166	Yes	
row_31	SELL	1667	1.3160420656204224	0.6340249	Yes	
row_32	ITGB2	1714	1.2900779247283936	0.6439409	Yes	
row_33	CDH5	1750	1.2738754749298096	0.65392715	Yes	
row_34	PECAM1	1758	1.2694693803787231	0.6643996	Yes	
