NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGF	39	6.258127212524414	0.031418208	Yes	
row_1	TNFRSF4	150	4.1935811042785645	0.05090087	Yes	
row_2	TNFRSF17	151	4.185255527496338	0.07240096	Yes	
row_3	CTF1	161	4.133056640625	0.09346433	Yes	
row_4	CXCL14	164	4.116508483886719	0.1145738	Yes	
row_5	CCR10	169	4.079855442047119	0.13545752	Yes	
row_6	TSLP	176	4.039975166320801	0.15609892	Yes	
row_7	TNFRSF11B	186	3.9291443824768066	0.17611477	Yes	
row_8	CCL19	251	3.493776559829712	0.192864	Yes	
row_9	TNFSF11	310	3.185792922973633	0.20814346	Yes	
row_10	CXCL6	353	3.0185256004333496	0.22286332	Yes	
row_11	HGF	414	2.8373615741729736	0.23631538	Yes	
row_12	CXCL12	437	2.7975285053253174	0.25027454	Yes	
row_13	LTB	443	2.776205062866211	0.26444253	Yes	
row_14	BMPR1B	450	2.767263412475586	0.2785459	Yes	
row_15	TGFB1	463	2.7223591804504395	0.29230618	Yes	
row_16	CCL13	491	2.663691520690918	0.30548415	Yes	
row_17	CCL11	540	2.556272268295288	0.317717	Yes	
row_18	IL17A	543	2.551020860671997	0.33078438	Yes	
row_19	KIT	576	2.5016186237335205	0.34303612	Yes	
row_20	CD27	655	2.331993341445923	0.35355496	Yes	
row_21	GHR	677	2.288203239440918	0.36491638	Yes	
row_22	TGFB3	725	2.2028260231018066	0.37535226	Yes	
row_23	TNFRSF18	728	2.199333429336548	0.38661298	Yes	
row_24	LIFR	821	2.0471017360687256	0.3954061	Yes	
row_25	IL23R	916	1.9233205318450928	0.40352586	Yes	
row_26	TNFRSF8	920	1.9179251194000244	0.41332224	Yes	
row_27	CSF1R	956	1.8777008056640625	0.42231268	Yes	
row_28	CCR3	962	1.875246524810791	0.43185237	Yes	
row_29	IL10	980	1.8516100645065308	0.44104588	Yes	
row_30	TNFSF12	985	1.8480801582336426	0.45046476	Yes	
row_31	PDGFC	1013	1.825197458267212	0.4593353	Yes	
row_32	IL12A	1036	1.8052878379821777	0.4681972	Yes	
