NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MUS81	4432	0.5351981520652771	-0.053760156	No	
row_1	NBN	6234	0.34675920009613037	-0.06863005	No	
row_2	RPA1	7832	0.24118201434612274	-0.08539345	No	
row_3	POLD1	8643	0.19505766034126282	-0.08997103	No	
row_4	XRCC3	8848	0.18193934857845306	-0.083956674	No	
row_5	RAD51	9003	0.1737678200006485	-0.07745096	No	
row_6	POLD2	10794	0.13348272442817688	-0.1036251	No	
row_7	SSBP1	10816	0.13264140486717224	-0.096858755	No	
row_8	RPA2	14632	0.0	-0.16799563	No	
row_9	POLD4	38749	-0.21797479689121246	-0.60591483	No	
row_10	MRE11	39430	-0.24040839076042175	-0.605621	No	
row_11	RPA3	39820	-0.2596893310546875	-0.59886056	No	
row_12	RAD54B	41269	-0.31156784296035767	-0.60904723	No	
row_13	TOP3A	42745	-0.3794027864933014	-0.61607677	Yes	
row_14	RAD50	43265	-0.4005434215068817	-0.6041392	Yes	
row_15	RAD51C	44233	-0.4540644884109497	-0.59766716	Yes	
row_16	RAD52	46651	-0.6099573373794556	-0.60982	Yes	
row_17	POLD3	47739	-0.7003944516181946	-0.5922925	Yes	
row_18	SEM1	48172	-0.7375714182853699	-0.56054515	Yes	
row_19	RAD51D	49899	-0.927424430847168	-0.5426812	Yes	
row_20	EME1	50075	-0.9504055976867676	-0.49465623	Yes	
row_21	XRCC2	50958	-1.092483639717102	-0.45214722	Yes	
row_22	RAD51B	51187	-1.139134407043457	-0.39492583	Yes	
row_23	BLM	51260	-1.1544307470321655	-0.33397013	Yes	
row_24	RAD54L	51293	-1.1620278358459473	-0.27185857	Yes	
row_25	TOP3B	52352	-1.5040727853775024	-0.21042019	Yes	
row_26	BRCA2	53179	-2.0828194618225098	-0.113424	Yes	
row_27	RPA4	53324	-2.266300916671753	0.006190666	Yes	
