NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DRB1	276	3.3558928966522217	0.05075665	Yes	
row_1	HLA-DPA1	359	2.9972243309020996	0.09915838	Yes	
row_2	HLA-DPB1	366	2.9715375900268555	0.14855044	Yes	
row_3	TGFB1	463	2.7223591804504395	0.19211182	Yes	
row_4	HLA-DRB5	486	2.671581506729126	0.23620822	Yes	
row_5	HLA-DRA	561	2.526214361190796	0.27691248	Yes	
row_6	HLA-DQA1	613	2.427675247192383	0.31640437	Yes	
row_7	TGFB3	725	2.2028260231018066	0.35103074	Yes	
row_8	HLA-DMA	833	2.0303921699523926	0.38285908	Yes	
row_9	HLA-DMB	882	1.9655237197875977	0.41470778	Yes	
row_10	NCF4	893	1.9474923610687256	0.44696522	Yes	
row_11	IL10	980	1.8516100645065308	0.47620708	Yes	
row_12	IL12A	1036	1.8052878379821777	0.5052557	Yes	
row_13	HLA-DQB1	1046	1.7940911054611206	0.53497624	Yes	
row_14	TGFB2	1140	1.7043324708938599	0.5616339	Yes	
row_15	HLA-DOA	1381	1.49512779712677	0.58206314	Yes	
row_16	ITGB2	1714	1.2900779247283936	0.5973595	Yes	
row_17	MAPK11	1769	1.2641143798828125	0.6174112	Yes	
row_18	NFKBIA	1807	1.2475041151046753	0.6375034	Yes	
row_19	FCGR1A	1833	1.2329210042953491	0.65757656	Yes	
row_20	JUN	2035	1.1289184093475342	0.67263275	Yes	
row_21	CYBA	2383	0.9876314401626587	0.68261063	Yes	
row_22	MAPK3	2971	0.7997493147850037	0.68497986	Yes	
row_23	MAPK12	3143	0.7586579918861389	0.69442755	Yes	
row_24	MAPK14	3257	0.735289990901947	0.7045683	Yes	
row_25	NFKB1	3434	0.7016280889511108	0.71297264	Yes	
row_26	FOS	3626	0.6696955561637878	0.7205651	Yes	
row_27	HLA-DQA2	3724	0.6521642208099365	0.7296196	Yes	
row_28	IRAK4	3741	0.6488621830940247	0.74013066	Yes	
row_29	NCF1	4005	0.6014856696128845	0.74524313	Yes	
row_30	ITGA4	4219	0.5685691833496094	0.75074035	Yes	
row_31	ITGB1	4367	0.5444252490997314	0.7570669	Yes	
row_32	TAB1	4412	0.5380288362503052	0.7652091	Yes	
row_33	PRKCB	4495	0.5266454219818115	0.7724524	Yes	
row_34	IRAK1	4698	0.5027674436569214	0.77705866	Yes	
row_35	MAPK1	4915	0.4758213460445404	0.7809547	Yes	
row_36	FCGR3A	5273	0.43576690554618835	0.7815523	Yes	
row_37	FCGR3B	5375	0.4244859516620636	0.7867392	Yes	
row_38	MYD88	7457	0.26430198550224304	0.75230825	No	
row_39	IFNGR2	7899	0.2365000993013382	0.74801856	No	
row_40	MAPK13	8005	0.22939848899841309	0.7498808	No	
row_41	NCF2	8014	0.22910892963409424	0.7535483	No	
row_42	ITGAM	8495	0.2044326215982437	0.7479966	No	
row_43	JAK1	8924	0.17829906940460205	0.74298	No	
row_44	TNF	10460	0.15049873292446136	0.71684223	No	
row_45	C3	10520	0.14757296442985535	0.7181997	No	
row_46	HLA-DOB	10989	0.12447182834148407	0.7115398	No	
row_47	ELK1	12097	0.07395324110984802	0.6921139	No	
row_48	IFNG	12176	0.07134091854095459	0.6918468	No	
row_49	PTPN6	12272	0.06653553992509842	0.6911824	No	
row_50	RELA	13635	0.030965710058808327	0.66628164	No	
row_51	IFNGR1	13650	0.030412713065743446	0.66652703	No	
row_52	TLR4	14813	0.0	0.6448427	No	
row_53	CR1	16562	0.0	0.61222285	No	
row_54	FCGR2C	22353	0.0	0.50417423	No	
row_55	FCGR2A	29777	-0.00621570460498333	0.36575538	No	
row_56	STAT1	32023	-0.008053387515246868	0.32399505	No	
row_57	TLR2	33019	-0.04258524626493454	0.30613655	No	
row_58	TAB2	33445	-0.056971292942762375	0.29915464	No	
row_59	MAP3K7	35797	-0.12700170278549194	0.25739783	No	
row_60	IL12B	36807	-0.1663506031036377	0.24133994	No	
row_61	MARCKSL1	38279	-0.19776439666748047	0.21718387	No	
row_62	NOS2	38513	-0.2072896808385849	0.21628913	No	
row_63	NFKBIB	38835	-0.22141338884830475	0.21398748	No	
row_64	IL4	39493	-0.2437930405139923	0.2057885	No	
row_65	IL1B	43970	-0.4377073645591736	0.1295527	No	
row_66	PTGS2	44372	-0.46296948194503784	0.12978235	No	
row_67	TRAF6	44516	-0.47301915287971497	0.134994	No	
row_68	IL1A	49347	-0.8572808504104614	0.05914198	No	
row_69	JAK2	51736	-1.2755955457687378	0.03582958	No	
