NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MLH1	5097	0.4562638998031616	-0.052558385	No	
row_1	PCNA	5589	0.4040241241455078	-0.02410153	No	
row_2	RPA1	7832	0.24118201434612274	-0.043451205	No	
row_3	POLD1	8643	0.19505766034126282	-0.040395215	No	
row_4	RFC5	10172	0.16495084762573242	-0.05352897	No	
row_5	RFC2	10563	0.14587296545505524	-0.047220837	No	
row_6	POLD2	10794	0.13348272442817688	-0.039082963	No	
row_7	SSBP1	10816	0.13264140486717224	-0.027126623	No	
row_8	MSH2	11770	0.08913376182317734	-0.036597542	No	
row_9	RPA2	14632	0.0	-0.08994057	No	
row_10	MSH3	36792	-0.1654960811138153	-0.48768628	No	
row_11	LIG1	37084	-0.17316360771656036	-0.47699174	No	
row_12	POLD4	38749	-0.21797479689121246	-0.48772508	No	
row_13	MSH6	39007	-0.22602874040603638	-0.4714753	No	
row_14	RPA3	39820	-0.2596893310546875	-0.4624399	No	
row_15	EXO1	43197	-0.39542853832244873	-0.48857373	Yes	
row_16	PMS2	43461	-0.4115467369556427	-0.45516554	Yes	
row_17	RFC4	46455	-0.5974519848823547	-0.45535156	Yes	
row_18	RFC3	46972	-0.6361798048019409	-0.40574896	Yes	
row_19	POLD3	47739	-0.7003944516181946	-0.35482967	Yes	
row_20	RFC1	51139	-1.1286627054214478	-0.31313396	Yes	
row_21	MLH3	52554	-1.601110577583313	-0.1904469	Yes	
row_22	RPA4	53324	-2.266300916671753	0.0061901314	Yes	
