NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLP2R	79	5.111307144165039	0.026482668	Yes	
row_1	EDNRB	108	4.687447547912598	0.05160183	Yes	
row_2	PTGER1	199	3.866497755050659	0.071068466	Yes	
row_3	NPY1R	230	3.6561200618743896	0.09050807	Yes	
row_4	HTR4	234	3.6325604915618896	0.110324554	Yes	
row_5	GRIK2	250	3.502248525619507	0.12920335	Yes	
row_6	VIPR2	257	3.4564850330352783	0.14800037	Yes	
row_7	LPAR3	269	3.393404006958008	0.16635863	Yes	
row_8	ADRB3	334	3.076103687286377	0.18198828	Yes	
row_9	GLRB	355	3.0136263370513916	0.19810031	Yes	
row_10	GABRB3	448	2.768754720687866	0.21152405	Yes	
row_11	S1PR3	469	2.710193395614624	0.2259761	Yes	
row_12	TBXA2R	527	2.582127094268799	0.23903446	Yes	
row_13	BDKRB1	533	2.5702521800994873	0.2530019	Yes	
row_14	CYSLTR1	556	2.530853033065796	0.26643535	Yes	
row_15	APLNR	564	2.5239877700805664	0.28011224	Yes	
row_16	F2R	568	2.512131929397583	0.29379916	Yes	
row_17	ADRA1B	619	2.4160075187683105	0.30607986	Yes	
row_18	GRPR	630	2.3871121406555176	0.31895173	Yes	
row_19	PTGFR	650	2.344170093536377	0.3314201	Yes	
row_20	GHR	677	2.288203239440918	0.34345117	Yes	
row_21	ADCYAP1R1	716	2.218547821044922	0.3548764	Yes	
row_22	GABBR2	741	2.1835107803344727	0.36637217	Yes	
row_23	S1PR5	815	2.0603041648864746	0.37627608	Yes	
row_24	P2RY14	858	2.009068489074707	0.3864804	Yes	
row_25	NPY2R	887	1.9564390182495117	0.39665902	Yes	
row_26	GRIN2A	908	1.9308981895446777	0.40684775	Yes	
row_27	CALCRL	965	1.8689908981323242	0.4160235	Yes	
row_28	HTR7	967	1.8618245124816895	0.42619026	Yes	
row_29	P2RY6	993	1.841022253036499	0.43579367	Yes	
row_30	GRM8	1025	1.8152378797531128	0.4451436	Yes	
row_31	GABRD	1042	1.8024665117263794	0.45470467	Yes	
row_32	S1PR4	1047	1.792253017425537	0.46443462	Yes	
row_33	PTH1R	1070	1.768696665763855	0.47369856	Yes	
row_34	PTGDR	1169	1.671471357345581	0.481007	Yes	
row_35	CHRNA1	1185	1.6596094369888306	0.48980525	Yes	
row_36	P2RX1	1219	1.6244726181030273	0.49807414	Yes	
row_37	VIPR1	1305	1.5614278316497803	0.5050241	Yes	
row_38	ADRB2	1323	1.5449801683425903	0.5131578	Yes	
row_39	NPY5R	1466	1.4384864568710327	0.5183674	Yes	
row_40	NMUR1	1570	1.3725659847259521	0.523947	Yes	
row_41	C5AR1	1594	1.3584266901016235	0.5309477	Yes	
row_42	PTGIR	1604	1.3534519672393799	0.53818345	Yes	
row_43	F2RL2	1616	1.348282814025879	0.5453535	Yes	
row_44	GABRA2	1899	1.1935250759124756	0.54660064	Yes	
row_45	PRL	1908	1.1882127523422241	0.55295116	Yes	
row_46	LEPR	1933	1.1757900714874268	0.558934	Yes	
row_47	GRIK4	1972	1.1557765007019043	0.5645451	Yes	
row_48	CNR1	2046	1.1249964237213135	0.56933224	Yes	
row_49	CTSG	2069	1.1155933141708374	0.57502323	Yes	
row_50	GLRA3	2090	1.1017084121704102	0.5806757	Yes	
row_51	P2RY8	2165	1.0736501216888428	0.5851632	Yes	
row_52	CALCR	2319	1.0083601474761963	0.58781374	Yes	
row_53	AVPR1A	2324	1.0072160959243774	0.59324896	Yes	
row_54	HRH1	2372	0.9915585517883301	0.5977931	Yes	
row_55	HRH4	2484	0.9535307884216309	0.6009304	Yes	
