NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC8	2973	0.7981408834457397	-0.018557413	No	
row_1	MNAT1	3670	0.6599523425102234	-0.0010318069	No	
row_2	POLE4	5445	0.4175882637500763	-0.014816997	No	
row_3	PCNA	5589	0.4040241241455078	0.0011925105	No	
row_4	CETN2	6211	0.34823212027549744	0.005707181	No	
row_5	GTF2H3	6435	0.3299552798271179	0.016800541	No	
row_6	CUL4B	7023	0.2931569516658783	0.019403433	No	
row_7	RBX1	7497	0.2603364586830139	0.022615485	No	
row_8	RPA1	7832	0.24118201434612274	0.027534744	No	
row_9	POLE3	8263	0.2188502550125122	0.029631063	No	
row_10	ERCC4	8575	0.19936393201351166	0.0330462	No	
row_11	POLD1	8643	0.19505766034126282	0.04081341	No	
row_12	ERCC2	8654	0.19423852860927582	0.04960593	No	
row_13	DDB2	8737	0.18839703500270844	0.056785453	No	
row_14	RFC5	10172	0.16495084762573242	0.03766337	No	
row_15	RFC2	10563	0.14587296545505524	0.037132267	No	
row_16	RAD23B	10674	0.14044736325740814	0.041572966	No	
row_17	POLD2	10794	0.13348272442817688	0.045523845	No	
row_18	CDK7	11733	0.09071435779333115	0.03222153	No	
row_19	ERCC1	12144	0.07236430794000626	0.027919305	No	
row_20	POLE2	13799	0.023546487092971802	-0.0018429399	No	
row_21	ERCC3	14013	0.01455348078161478	-0.005143095	No	
row_22	XPA	14120	0.010346288792788982	-0.006641951	No	
row_23	RPA2	14632	0.0	-0.016173221	No	
row_24	DDB1	35658	-0.12349286675453186	-0.40262687	No	
row_25	GTF2H1	36346	-0.14570288360118866	-0.40870553	No	
row_26	LIG1	37084	-0.17316360771656036	-0.4144474	No	
row_27	POLD4	38749	-0.21797479689121246	-0.43540835	No	
row_28	GTF2H5	39453	-0.24185210466384888	-0.43734077	No	
row_29	RPA3	39820	-0.2596893310546875	-0.43216285	No	
row_30	CCNH	40605	-0.27990785241127014	-0.4338469	No	
row_31	RAD23A	42703	-0.3765479028224945	-0.45555392	No	
row_32	RFC4	46455	-0.5974519848823547	-0.49789995	Yes	
row_33	RFC3	46972	-0.6361798048019409	-0.4781159	Yes	
row_34	POLD3	47739	-0.7003944516181946	-0.4600264	Yes	
row_35	POLE	48021	-0.7262858152389526	-0.43169376	Yes	
row_36	CUL4A	48200	-0.7405560612678528	-0.40078026	Yes	
row_37	XPC	48345	-0.7540633678436279	-0.3686082	Yes	
row_38	GTF2H2	50151	-0.9607642889022827	-0.3578623	Yes	
row_39	ERCC6	50697	-1.0447568893432617	-0.3197319	Yes	
row_40	RFC1	51139	-1.1286627054214478	-0.27578297	Yes	
row_41	GTF2H4	52716	-1.692537784576416	-0.2269381	Yes	
row_42	RPA4	53324	-2.266300916671753	-0.13349597	Yes	
row_43	ERCC5	53544	-3.0214004516601562	0.0020890755	Yes	
