NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEC11A	6923	0.3001066744327545	-0.093059234	No	
row_1	SRP9P1	7419	0.2666160464286804	-0.070286766	No	
row_2	SRP72	8211	0.2219986617565155	-0.058388695	No	
row_3	SRP9	8832	0.18305706977844238	-0.047976445	No	
row_4	SRP14	10231	0.16291415691375732	-0.054487932	No	
row_5	SPCS1	10655	0.14138680696487427	-0.04540424	No	
row_6	SEC62	11801	0.08772582560777664	-0.056223325	No	
row_7	SPCS3	12288	0.06595122069120407	-0.0573688	No	
row_8	SRPRA	13622	0.03160424157977104	-0.07842945	No	
row_9	SEC11C	15092	0.0	-0.10581931	No	
row_10	SEC61B	32802	-0.0359298475086689	-0.43169513	No	
row_11	SRP54	32862	-0.03798222169280052	-0.42823622	No	
row_12	SEC63	33404	-0.055711083114147186	-0.4316363	No	
row_13	IMMP1L	34816	-0.09696676582098007	-0.4463058	No	
row_14	OXA1L	35390	-0.11759792268276215	-0.44287428	No	
row_15	SRPRB	36624	-0.15774428844451904	-0.44692987	No	
row_16	SPCS2	38651	-0.21346963942050934	-0.4590824	No	
row_17	SRP68	39401	-0.23856601119041443	-0.44441265	No	
row_18	SEC61G	43099	-0.38970935344696045	-0.46656737	Yes	
row_19	SEC61A1	43652	-0.4242691397666931	-0.4259346	Yes	
row_20	HSPA5	46943	-0.6339522004127502	-0.4111843	Yes	
row_21	IMMP2L	47140	-0.6492159962654114	-0.33691353	Yes	
row_22	SRP19	50777	-1.0579545497894287	-0.27772155	Yes	
row_23	SEC61A2	53506	-2.760836124420166	0.0027967824	Yes	
