NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA2	156	4.159027576446533	0.08379908	No	
row_1	SRSF8	3095	0.7693111300468445	0.044953667	No	
row_2	HSPA1A	3312	0.7255715727806091	0.056046296	No	
row_3	LSM7	3334	0.7213968634605408	0.0706947	No	
row_4	SNRPB	4640	0.5081077218055725	0.056909602	No	
row_5	PUF60	4928	0.4739718735218048	0.061430164	No	
row_6	SRSF5	5178	0.44621387124061584	0.066081874	No	
row_7	PCBP1	5841	0.37981754541397095	0.061633952	No	
row_8	BCAS2	5904	0.3749980628490448	0.06829422	No	
row_9	PHF5A	6112	0.35593703389167786	0.07184831	No	
row_10	SRSF9	6444	0.3294264078140259	0.07253321	No	
row_11	SF3A1	7159	0.2846910059452057	0.06513054	No	
row_12	HNRNPM	7172	0.2833377420902252	0.0708138	No	
row_13	WBP11	7217	0.2797950208187103	0.07582539	No	
row_14	TXNL4A	8526	0.20249755680561066	0.055612452	No	
row_15	DDX5	8693	0.1915694922208786	0.0565055	No	
row_16	LSM2	9611	0.17123867571353912	0.04294515	No	
row_17	NCBP1	10250	0.16215121746063232	0.03440736	No	
row_18	SF3B5	10627	0.1425793617963791	0.030355956	No	
row_19	SRSF7	10772	0.13507325947284698	0.030482076	No	
row_20	DDX23	10845	0.130662739276886	0.03186128	No	
row_21	SMNDC1	10890	0.13022413849830627	0.03375441	No	
row_22	SNRNP40	11179	0.11363617330789566	0.030743496	No	
row_23	SRSF1	11501	0.09975820779800415	0.02682676	No	
row_24	PQBP1	11614	0.09588797390460968	0.026733685	No	
row_25	SRSF2	11776	0.08896861225366592	0.02558097	No	
row_26	SRSF6	11950	0.08058039098978043	0.024029192	No	
row_27	PRPF31	12145	0.07233786582946777	0.021913258	No	
row_28	SNW1	12975	0.05840464308857918	0.007644319	No	
row_29	DDX46	13212	0.04857111722230911	0.004248256	No	
row_30	ALYREF	13259	0.04670175537467003	0.0043626297	No	
row_31	PPIL1	13902	0.01932772435247898	-0.0072276737	No	
row_32	SRSF3	14177	0.0077276951633393764	-0.012185181	No	
row_33	SF3A2	14354	0.0018298898357897997	-0.015434905	No	
row_34	SF3A3	32279	-0.016324764117598534	-0.34993482	No	
row_35	RBM17	32355	-0.0189497210085392	-0.35094082	No	
row_36	HSPA1L	32370	-0.019649775698781013	-0.35079268	No	
row_37	MAGOHB	32379	-0.020074686035513878	-0.35052356	No	
row_38	HNRNPA3	32464	-0.023002052679657936	-0.3516132	No	
row_39	DHX38	32508	-0.02461947128176689	-0.3519032	No	
row_40	RBM8A	32690	-0.031741686165332794	-0.3546227	No	
row_41	PRPF18	32772	-0.034605808556079865	-0.35541433	No	
row_42	XAB2	32813	-0.0363590382039547	-0.3554035	No	
row_43	PLRG1	32857	-0.03788861259818077	-0.35541686	No	
row_44	DHX16	33013	-0.04243449494242668	-0.3574277	No	
row_45	DHX15	33122	-0.046272121369838715	-0.3584805	No	
row_46	PRPF8	33137	-0.04684174805879593	-0.3577654	No	
row_47	PRPF38B	33192	-0.0478612519800663	-0.3577763	No	
row_48	TRA2A	33393	-0.05538814887404442	-0.36035773	No	
row_49	PRPF19	33430	-0.05650315061211586	-0.3598522	No	
row_50	SNRPF	33509	-0.05903640389442444	-0.36007845	No	
row_51	SNU13	33632	-0.063508540391922	-0.3610334	No	
row_52	U2AF2	34346	-0.08551580458879471	-0.3725701	No	
row_53	EFTUD2	34530	-0.09017565101385117	-0.37410864	No	
row_54	SNRPD3	34611	-0.09309384971857071	-0.37366217	No	
row_55	RBMX	34646	-0.09414079785346985	-0.37233454	No	
row_56	LSM4	34753	-0.09459099173545837	-0.3723426	No	
row_57	HSPA8	34773	-0.09559248387813568	-0.37070447	No	
row_58	USP39	34909	-0.09902653098106384	-0.37116176	No	
row_59	EIF4A3	35266	-0.11308538168668747	-0.3754545	No	
row_60	PPIE	35373	-0.11685945838689804	-0.3749982	No	
row_61	LSM5	35377	-0.11699475347995758	-0.372615	No	
row_62	LSM3	35767	-0.12565793097019196	-0.37726206	No	
row_63	SNRPC	35996	-0.13167405128479004	-0.378776	Yes	
row_64	ZMAT2	36046	-0.13405749201774597	-0.37689638	Yes	
row_65	HNRNPK	36134	-0.13605140149593353	-0.37568504	Yes	
row_66	SF3B6	36153	-0.1369626820087433	-0.3731657	Yes	
row_67	SNRPB2	36226	-0.13975419104099274	-0.37159696	Yes	
row_68	SNRPD2	36259	-0.1413874477148056	-0.3692469	Yes	
row_69	AQR	36493	-0.15272797644138336	-0.3704153	Yes	
row_70	SART1	36554	-0.15484313666820526	-0.36830777	Yes	
row_71	SLU7	36759	-0.16383729875087738	-0.36870283	Yes	
row_72	RBM22	36784	-0.16500845551490784	-0.36571082	Yes	
row_73	SNRNP70	36852	-0.16823340952396393	-0.3634549	Yes	
row_74	SNRPD1	36854	-0.16832931339740753	-0.359964	Yes	
row_75	CRNKL1	36938	-0.1698036938905716	-0.35797423	Yes	
row_76	PRPF40A	37332	-0.18106506764888763	-0.3615408	Yes	
row_77	LSM6	38061	-0.18629735708236694	-0.37125647	Yes	
row_78	PPIH	38082	-0.18746057152748108	-0.36772165	Yes	
row_79	ISY1	38566	-0.21025165915489197	-0.372361	Yes	
row_80	THOC3	38811	-0.2205406129360199	-0.37232104	Yes	
row_81	SRSF4	38817	-0.2206721305847168	-0.36781356	Yes	
row_82	PRPF6	39138	-0.2301081269979477	-0.36899388	Yes	
row_83	SF3B4	39769	-0.2568282186985016	-0.37540826	Yes	
row_84	CDC5L	39786	-0.2581503689289093	-0.37032488	Yes	
row_85	BUD31	39842	-0.26108792424201965	-0.3659088	Yes	
row_86	CTNNBL1	40381	-0.2697100341320038	-0.37033594	Yes	
row_87	TRA2B	40648	-0.283324271440506	-0.36939797	Yes	
row_88	SF3B3	40955	-0.2995847463607788	-0.36886823	Yes	
