NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	28	-0.6427361	-1.4305739	0.037351444	0.33559853	0.93	7007	tags=43%, list=13%, signal=49%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	44	-0.5255183	-1.255121	0.115248226	0.7982469	1.0	7203	tags=27%, list=13%, signal=31%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT	Details ...	24	-0.5133441	-1.1051706	0.3321976	1.0	1.0	10559	tags=25%, list=20%, signal=31%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	23	-0.525385	-1.0963708	0.3572621	1.0	1.0	10461	tags=35%, list=19%, signal=43%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	127	-0.38152134	-1.0738268	0.2933754	0.92941326	1.0	17662	tags=50%, list=33%, signal=75%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS		22	-0.49659532	-1.0403166	0.39770868	0.906356	1.0	18443	tags=55%, list=34%, signal=83%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION		55	-0.41660178	-1.0348412	0.4019449	0.79588187	1.0	15597	tags=47%, list=29%, signal=67%	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG		25	-0.4850973	-1.031326	0.43972835	0.70733714	1.0	1655	tags=16%, list=3%, signal=17%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION		36	-0.44226658	-1.0223279	0.40691927	0.6522795	1.0	7203	tags=22%, list=13%, signal=26%	
KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE		28	-0.40854228	-0.90687674	0.627451	0.8953804	1.0	13122	tags=39%, list=24%, signal=52%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		35	-0.39089873	-0.8929489	0.6333907	0.8499551	1.0	11117	tags=29%, list=21%, signal=36%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR		35	-0.33213258	-0.756202	0.8649518	1.0	1.0	7267	tags=23%, list=14%, signal=26%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION		44	-0.30406868	-0.73532516	0.9293103	1.0	1.0	12921	tags=36%, list=24%, signal=48%	
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE		17	-0.36328104	-0.722729	0.87397707	0.9439452	1.0	5433	tags=18%, list=10%, signal=20%	
