NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	Details ...	131	0.73155665	2.180631	0.0	0.0	0.0	4995	tags=42%, list=9%, signal=46%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	271	0.67542154	2.1408994	0.0	0.0	0.0	5110	tags=33%, list=10%, signal=37%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	264	0.6660448	2.1370173	0.0	0.0	0.0	5078	tags=36%, list=9%, signal=39%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	Details ...	70	0.7867392	2.1090195	0.0	0.0	0.0	5375	tags=54%, list=10%, signal=60%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	55	0.80011624	2.0803149	0.0	0.0	0.0	5375	tags=56%, list=10%, signal=63%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES		69	0.7665554	2.0646417	0.0	0.0	0.0	5130	tags=46%, list=10%, signal=51%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		69	0.7618881	2.057599	0.0	0.0	0.0	3023	tags=29%, list=6%, signal=31%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION		84	0.7341126	2.043614	0.0	0.0	0.0	5853	tags=58%, list=11%, signal=65%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY		188	0.6715684	2.037681	0.0	0.0	0.0	4961	tags=35%, list=9%, signal=39%	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION		198	0.6575953	2.0050972	0.0	0.0	0.0	5856	tags=44%, list=11%, signal=49%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE		85	0.7193793	1.997145	0.0	0.0	0.0	4966	tags=42%, list=9%, signal=47%	
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_DRUG_METABOLISM_CYTOCHROME_P450		71	0.71893156	1.9750376	0.0	0.0	0.0	5702	tags=39%, list=11%, signal=44%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		43	0.79118186	1.974658	0.0	0.0	0.0	8498	tags=74%, list=16%, signal=88%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY		177	0.64987135	1.9610254	0.0	0.0	0.0	5082	tags=37%, list=9%, signal=40%	
KEGG_ASTHMA	KEGG_ASTHMA		28	0.8224309	1.9172627	0.0	9.890273E-4	0.006	1709	tags=54%, list=3%, signal=55%	
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM		64	0.7209118	1.9055753	0.0	0.0011993315	0.008	5740	tags=36%, list=11%, signal=40%	
KEGG_MELANOMA	KEGG_MELANOMA		71	0.69337773	1.8775778	0.0	0.0016827744	0.012	5042	tags=39%, list=9%, signal=43%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS		68	0.7018115	1.876762	0.0	0.0015892868	0.012	6530	tags=44%, list=12%, signal=50%	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE		50	0.72626567	1.8715379	0.0	0.0015056402	0.012	6570	tags=40%, list=12%, signal=46%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE		129	0.642392	1.8705114	0.0	0.0014303582	0.012	5025	tags=35%, list=9%, signal=38%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION		90	0.66941565	1.8668987	0.0	0.001362246	0.012	4963	tags=37%, list=9%, signal=40%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		42	0.75861996	1.8584334	0.0	0.0013003257	0.012	7486	tags=55%, list=14%, signal=64%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS		101	0.65826297	1.8568867	0.0	0.0012437897	0.012	6186	tags=42%, list=12%, signal=47%	
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION		46	0.72035474	1.8300867	0.0	0.0017105481	0.017	4816	tags=46%, list=9%, signal=50%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER		325	0.56398886	1.8281933	0.0	0.0018313333	0.019	7802	tags=45%, list=15%, signal=52%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY		56	0.7054135	1.8260858	0.0	0.0019638592	0.021	5615	tags=45%, list=10%, signal=50%	
KEGG_LYSOSOME	KEGG_LYSOSOME		120	0.64033127	1.8247923	0.0	0.0018911236	0.021	7929	tags=46%, list=15%, signal=54%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM		51	0.70963746	1.8232533	0.0	0.0020106577	0.022	6282	tags=41%, list=12%, signal=47%	
