Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
KEGG_PROTEIN_EXPORT	1	0.03366342535104392	1.0	2.6666666666666665	1.0	0.0857414033007164	3	0.3321976	4.0	0.0857414033007164
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	2	0.05031665906556811	1.0	5.333333333333333	3.0	0.08915065339095504	8	0.43972835	5.0	0.08915065339095504
KEGG_BETA_ALANINE_METABOLISM	3	1.0	1.0	7.666666666666667	2.0	0.07888476639008075	18	1.0	3.0	0.07888476639008075
KEGG_NUCLEOTIDE_EXCISION_REPAIR	4	0.02996657268068182	1.0	7.666666666666667	10.0	0.15157538122313946	2	0.115248226	11.0	0.15157538122313946
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	5	1.0	1.0	14.666666666666666	7.0	0.10600808994733664	30	1.0	7.0	0.10600808994733664
KEGG_SPLICEOSOME	6	0.2505897491961595	1.0	16.333333333333332	22.0	0.3779977109049456	5	0.2933754	22.0	0.3779977109049456
KEGG_TYPE_II_DIABETES_MELLITUS	7	1.0	1.0	21.666666666666668	11.0	0.16103499242236424	42	1.0	12.0	0.16103499242236424
KEGG_CARDIAC_MUSCLE_CONTRACTION	8	1.0	1.0	22.833333333333332	18.0	0.2528452359667473	33	1.0	17.5	0.2528452359667473
KEGG_VIBRIO_CHOLERAE_INFECTION	9	1.0	1.0	24.5	12.0	0.1827012820145786	48	1.0	13.5	0.1827012820145786
KEGG_BUTANOATE_METABOLISM	10	1.0	1.0	26.666666666666668	8.0	0.11927023638727523	64	1.0	8.0	0.11927023638727523
KEGG_ARGININE_AND_PROLINE_METABOLISM	11	1.0	1.0	32.166666666666664	13.0	0.1827012820145786	70	1.0	13.5	0.1827012820145786
KEGG_ARACHIDONIC_ACID_METABOLISM	12	1.0	1.0	34.333333333333336	17.0	0.19483110231887726	71	1.0	15.0	0.19483110231887726
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	13	1.0	1.0	35.0	6.0	0.09930269215816326	93	1.0	6.0	0.09930269215816326
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	14	1.0	1.0	36.0	4.0	0.03862537260051397	103	1.0	1.0	0.03862537260051397
KEGG_ENDOCYTOSIS	15	1.0	1.0	36.0	14.0	0.14663900248658895	84	1.0	10.0	0.14663900248658895
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	16	1.0	1.0	40.666666666666664	19.0	0.29624630543618585	83	1.0	20.0	0.29624630543618585
KEGG_DILATED_CARDIOMYOPATHY	17	1.0	1.0	46.0	5.0	0.04470075665150321	131	1.0	2.0	0.04470075665150321
KEGG_TYPE_I_DIABETES_MELLITUS	18	1.0	1.0	48.666666666666664	9.0	0.14200964902135554	128	1.0	9.0	0.14200964902135554
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	19	1.0	1.0	55.333333333333336	15.0	0.2272723334507054	135	1.0	16.0	0.2272723334507054
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	20	1.0	1.0	55.666666666666664	20.0	0.36148583520362737	126	1.0	21.0	0.36148583520362737
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	21	1.0	1.0	56.5	16.0	0.2528452359667473	136	1.0	17.5	0.2528452359667473
KEGG_MAPK_SIGNALING_PATHWAY	22	1.0	1.0	60.0	21.0	0.25419866548170095	140	1.0	19.0	0.25419866548170095
KEGG_HOMOLOGOUS_RECOMBINATION	23	1.0	1.0	66.66666666666667	99.5	1.0	1	0.037351444	99.5	1.0
KEGG_MISMATCH_REPAIR	24	1.0	1.0	67.66666666666667	99.5	1.0	4	0.3572621	99.5	1.0
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	25	1.0	1.0	68.33333333333333	99.5	1.0	6	0.39770868	99.5	1.0
KEGG_RNA_DEGRADATION	26	1.0	1.0	68.66666666666667	99.5	1.0	7	0.4019449	99.5	1.0
KEGG_DNA_REPLICATION	27	1.0	1.0	69.33333333333333	99.5	1.0	9	0.40691927	99.5	1.0
KEGG_RNA_POLYMERASE	28	1.0	1.0	69.66666666666667	99.5	1.0	10	0.627451	99.5	1.0
KEGG_BASAL_TRANSCRIPTION_FACTORS	29	1.0	1.0	70.0	99.5	1.0	11	0.6333907	99.5	1.0
KEGG_BASE_EXCISION_REPAIR	30	1.0	1.0	70.33333333333333	99.5	1.0	12	0.8649518	99.5	1.0
KEGG_LYSINE_DEGRADATION	31	1.0	1.0	70.66666666666667	99.5	1.0	13	0.9293103	99.5	1.0
KEGG_ONE_CARBON_POOL_BY_FOLATE	32	1.0	1.0	71.0	99.5	1.0	14	0.87397707	99.5	1.0
KEGG_PENTOSE_PHOSPHATE_PATHWAY	33	1.0	1.0	71.33333333333333	99.5	1.0	15	1.0	99.5	1.0
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	34	1.0	1.0	71.66666666666667	99.5	1.0	16	1.0	99.5	1.0
KEGG_CELL_CYCLE	35	1.0	1.0	72.0	99.5	1.0	17	1.0	99.5	1.0
KEGG_LINOLEIC_ACID_METABOLISM	36	1.0	1.0	72.66666666666667	99.5	1.0	19	1.0	99.5	1.0
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	37	1.0	1.0	73.0	99.5	1.0	20	1.0	99.5	1.0
KEGG_SELENOAMINO_ACID_METABOLISM	38	1.0	1.0	73.33333333333333	99.5	1.0	21	1.0	99.5	1.0
KEGG_N_GLYCAN_BIOSYNTHESIS	39	1.0	1.0	73.66666666666667	99.5	1.0	22	1.0	99.5	1.0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	40	1.0	1.0	74.0	99.5	1.0	23	1.0	99.5	1.0
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	41	1.0	1.0	74.33333333333333	99.5	1.0	24	1.0	99.5	1.0
