Pathway	p-value	Combined score	Rank
KEGG_PROTEIN_EXPORT	0.0857414033007164	3.575489092033033	1
KEGG_BETA_ALANINE_METABOLISM	0.07888476639008075	3.5021146935904315	2
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.08915065339095504	3.4425613171170975	3
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.03862537260051397	3.3051635835288593	4
KEGG_DILATED_CARDIOMYOPATHY	0.04470075665150321	3.14050048856631	5
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.09930269215816326	2.67021172340056	6
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.10600808994733664	2.441251526066666	7
KEGG_BUTANOATE_METABOLISM	0.11927023638727523	2.384999776861078	8
KEGG_TYPE_I_DIABETES_MELLITUS	0.14200964902135554	2.0790485580870803	9
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.15157538122313946	1.9834195191098911	10
KEGG_TYPE_II_DIABETES_MELLITUS	0.16103499242236424	1.7663637922079833	11
KEGG_VIBRIO_CHOLERAE_INFECTION	0.1827012820145786	1.5548109132468266	12
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.1827012820145786	1.481511393566628	13
KEGG_ENDOCYTOSIS	0.14663900248658895	1.1663473627139198	14
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.2272723334507054	1.112371852943941	15
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.2528452359667473	1.0830900365230878	16
KEGG_ARACHIDONIC_ACID_METABOLISM	0.19483110231887726	1.075484291927831	17
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.2528452359667473	0.9446138294368217	18
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.29624630543618585	0.8462271135865505	19
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.36148583520362737	0.6244754492652496	20
KEGG_MAPK_SIGNALING_PATHWAY	0.25419866548170095	0.5725006759115665	21
KEGG_SPLICEOSOME	0.3779977109049456	0.543390563335687	22
KEGG_WNT_SIGNALING_PATHWAY	1.0	0.0	23
KEGG_VIRAL_MYOCARDITIS	1.0	0.0	24
KEGG_VEGF_SIGNALING_PATHWAY	1.0	0.0	25
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1.0	0.0	26
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1.0	0.0	27
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1.0	0.0	28
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1.0	0.0	29
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1.0	0.0	30
KEGG_TYROSINE_METABOLISM	1.0	0.0	31
KEGG_TRYPTOPHAN_METABOLISM	1.0	0.0	32
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.0	0.0	33
KEGG_TIGHT_JUNCTION	1.0	0.0	34
KEGG_THYROID_CANCER	1.0	0.0	35
KEGG_TGF_BETA_SIGNALING_PATHWAY	1.0	0.0	36
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1.0	0.0	37
KEGG_TASTE_TRANSDUCTION	1.0	0.0	38
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1.0	0.0	39
KEGG_STEROID_HORMONE_BIOSYNTHESIS	1.0	0.0	40
KEGG_STEROID_BIOSYNTHESIS	1.0	0.0	41
KEGG_STARCH_AND_SUCROSE_METABOLISM	1.0	0.0	42
KEGG_SPHINGOLIPID_METABOLISM	1.0	0.0	43
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1.0	0.0	44
KEGG_SMALL_CELL_LUNG_CANCER	1.0	0.0	45
KEGG_SELENOAMINO_ACID_METABOLISM	1.0	0.0	46
KEGG_RNA_POLYMERASE	1.0	0.0	47
KEGG_RNA_DEGRADATION	1.0	0.0	48
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.0	0.0	49
KEGG_RIBOFLAVIN_METABOLISM	1.0	0.0	50
KEGG_RETINOL_METABOLISM	1.0	0.0	51
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1.0	0.0	52
KEGG_RENAL_CELL_CARCINOMA	1.0	0.0	53
