Pathway	PET rank	PET p-value	PET FDR	Average rank	Enrichr rank	Enrichr p-value	GSEA rank	GSEA p-value	ora rank	ora p-value
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1	0.0	0.0	3.6666666666666665	7.0	7.542636402392637e-06	3	0.0	1.0	7.542636402392637e-06
KEGG_PPAR_SIGNALING_PATHWAY	2	0.0	0.0	5.0	4.0	0.00013395509839626938	7	0.0	4.0	0.00013395509839626938
KEGG_CELL_ADHESION_MOLECULES_CAMS	3	0.0	0.0	6.666666666666667	10.0	0.0015171452854362685	1	0.0	9.0	0.0015171452854362685
KEGG_GAP_JUNCTION	4	0.0	0.0	8.0	1.0	2.325397474555532e-05	21	0.0	2.0	2.325397474555532e-05
KEGG_CHEMOKINE_SIGNALING_PATHWAY	5	0.0	0.0	9.333333333333334	11.0	0.0007312423919976916	9	0.0	8.0	0.0007312423919976916
KEGG_MELANOGENESIS	6	0.0	0.0	9.333333333333334	2.0	4.0543742686407715e-05	23	0.0	3.0	4.0543742686407715e-05
KEGG_FATTY_ACID_METABOLISM	7	0.0	0.0	11.666666666666666	6.0	0.0005260869862494118	22	0.0	7.0	0.0005260869862494118
KEGG_CALCIUM_SIGNALING_PATHWAY	8	0.0	0.0	14.333333333333334	18.0	0.004483409121083699	14	0.0	11.0	0.004483409121083699
KEGG_FOCAL_ADHESION	9	0.0	0.0	14.333333333333334	20.0	0.006634770826697492	10	0.0	13.0	0.006634770826697492
KEGG_O_GLYCAN_BIOSYNTHESIS	10	5.464419355498245e-09	2.185767742199298e-08	16.0	5.0	0.00019227926457620413	38	0.0025641026	5.0	0.00019227926457620413
KEGG_TYROSINE_METABOLISM	11	0.0	0.0	17.333333333333332	3.0	0.000489849452701554	43	0.0	6.0	0.000489849452701554
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	12	0.0	0.0	19.333333333333332	15.0	0.01284680086743105	24	0.0	19.0	0.01284680086743105
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	13	0.0	0.0	20.5	26.0	0.02754126399237493	6	0.0	29.5	0.02754126399237493
KEGG_HEDGEHOG_SIGNALING_PATHWAY	14	0.0	0.0	22.5	19.0	0.018656622872944915	26	0.0	22.5	0.018656622872944915
KEGG_RETINOL_METABOLISM	15	0.0	0.0	23.0	27.0	0.02395478899050651	16	0.0	26.0	0.02395478899050651
KEGG_DILATED_CARDIOMYOPATHY	16	0.0	0.0	23.666666666666668	13.0	0.004723019166968363	46	0.0	12.0	0.004723019166968363
KEGG_MELANOMA	17	0.0	0.0	24.5	25.0	0.029032615121975434	17	0.0	31.5	0.029032615121975434
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	18	0.0	0.0	25.166666666666668	32.0	0.029032615121975434	12	0.0	31.5	0.029032615121975434
KEGG_ECM_RECEPTOR_INTERACTION	19	0.0	0.0	25.333333333333332	33.0	0.039472487903495876	8	0.0	35.0	0.039472487903495876
KEGG_PRION_DISEASES	20	4.605385386516475e-06	1.8012173956153325e-05	26.0	8.0	0.0075858713162896985	56	0.0023640662	14.0	0.0075858713162896985
KEGG_HEMATOPOIETIC_CELL_LINEAGE	21	0.0	0.0	28.0	37.0	0.040326640906729584	11	0.0	36.0	0.040326640906729584
KEGG_WNT_SIGNALING_PATHWAY	22	0.0	0.0	30.0	34.0	0.018848230952059133	32	0.0	24.0	0.018848230952059133
KEGG_PURINE_METABOLISM	23	0.0	0.0	30.333333333333332	14.0	0.002860245760203385	67	0.0	10.0	0.002860245760203385
KEGG_MAPK_SIGNALING_PATHWAY	24	0.0	0.0	32.333333333333336	39.0	0.01686416541230532	37	0.0	21.0	0.01686416541230532
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	25	0.0	0.0	33.833333333333336	30.0	0.02754126399237493	42	0.0	29.5	0.02754126399237493
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	26	6.616507932086874e-05	0.00023290107920945793	33.833333333333336	12.0	0.011799351170974798	72	0.018181818	17.5	0.011799351170974798
KEGG_TGF_BETA_SIGNALING_PATHWAY	27	0.00012684712921536	0.0004212282026774219	34.0	35.0	0.03862537260051397	33	0.0025316456	34.0	0.03862537260051397
KEGG_APOPTOSIS	28	0.0	0.0	34.666666666666664	38.0	0.042055805783841646	29	0.0	37.0	0.042055805783841646
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	29	5.518257093686e-05	0.00020233609343515334	34.833333333333336	22.0	0.02536470140064434	55	0.0026385225	27.5	0.02536470140064434
KEGG_ABC_TRANSPORTERS	30	6.551639910001133e-05	0.00023290107920945793	35.5	16.0	0.011799351170974798	73	0.017994858	17.5	0.011799351170974798
