Pathway	p-value	Combined score	Rank
KEGG_GAP_JUNCTION	2.325397474555532e-05	9.347070002996745	1
KEGG_MELANOGENESIS	4.0543742686407715e-05	8.482982045927454	2
KEGG_TYROSINE_METABOLISM	0.000489849452701554	8.107394171941058	3
KEGG_PPAR_SIGNALING_PATHWAY	0.00013395509839626938	7.999275131771452	4
KEGG_O_GLYCAN_BIOSYNTHESIS	0.00019227926457620413	7.703100026592071	5
KEGG_FATTY_ACID_METABOLISM	0.0005260869862494118	7.35988516577611	6
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	7.542636402392637e-06	7.130082459474111	7
KEGG_PRION_DISEASES	0.0075858713162896985	5.641454027954799	8
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.010791548828788241	4.762185004775764	9
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.0015171452854362685	4.605930318871843	10
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.0007312423919976916	4.575070615117511	11
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.011799351170974798	4.513236012727819	12
KEGG_DILATED_CARDIOMYOPATHY	0.004723019166968363	4.341848391243937	13
KEGG_PURINE_METABOLISM	0.002860245760203385	4.238782818411424	14
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.01284680086743105	4.21127020754506	15
KEGG_ABC_TRANSPORTERS	0.011799351170974798	3.9186035363398695	16
KEGG_OOCYTE_MEIOSIS	0.007816688997771291	3.399179874040319	17
KEGG_CALCIUM_SIGNALING_PATHWAY	0.004483409121083699	3.2312277459121077	18
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.018656622872944915	3.2066729602791995	19
KEGG_FOCAL_ADHESION	0.006634770826697492	2.8778766582625575	20
KEGG_LONG_TERM_POTENTIATION	0.02536470140064434	2.7245454784151812	21
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.02536470140064434	2.7055340460666675	22
KEGG_TASTE_TRANSDUCTION	0.015634702199639937	2.612124252349596	23
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.018656622872944915	2.5513365251192663	24
KEGG_MELANOMA	0.029032615121975434	2.5293891213762802	25
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.02754126399237493	2.52926346118305	26
KEGG_RETINOL_METABOLISM	0.02395478899050651	2.526374387675659	27
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.05448112518429204	2.517157231243785	28
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.021903040386164245	2.3233115012876544	29
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.02754126399237493	2.1561163283111786	30
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.03695251157154624	2.1520445836297193	31
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.029032615121975434	2.1457128733304183	32
KEGG_ECM_RECEPTOR_INTERACTION	0.039472487903495876	2.053635949093431	33
KEGG_WNT_SIGNALING_PATHWAY	0.018848230952059133	2.0465756357540186	34
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.03862537260051397	2.026205311547329	35
KEGG_PROSTATE_CANCER	0.043812362485180216	2.01610390305637	36
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.040326640906729584	1.8220702426571405	37
KEGG_APOPTOSIS	0.042055805783841646	1.7115637976769444	38
KEGG_MAPK_SIGNALING_PATHWAY	0.01686416541230532	1.617498122636272	39
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.07888476639008075	1.6077858758515897	40
KEGG_NITROGEN_METABOLISM	0.08231945664889909	1.5680302083235238	41
KEGG_GNRH_SIGNALING_PATHWAY	0.05489940118503359	1.5071376394525178	42
KEGG_BLADDER_CANCER	0.14200964902135554	1.4944888809418422	43
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.24723614356416193	1.4674551226248205	44
KEGG_ARACHIDONIC_ACID_METABOLISM	0.19483110231887726	1.3191370093309072	45
KEGG_TYPE_I_DIABETES_MELLITUS	0.14200964902135554	1.2584862124595788	46
KEGG_GLYCEROLIPID_METABOLISM	0.16728302279693283	1.083952809603575	47
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.06788377657583335	1.0660882183889135	48
KEGG_ENDOMETRIAL_CANCER	0.17656836250344804	0.9948318180230552	49
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.045363004996579186	0.9699772563167917	50
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.1827012820145786	0.9426250006149938	51
KEGG_BUTANOATE_METABOLISM	0.11927023638727523	0.9386688024153059	52
KEGG_ACUTE_MYELOID_LEUKEMIA	0.18575067652985877	0.8954422882805773	53
KEGG_BASAL_CELL_CARCINOMA	0.18575067652985877	0.8719484761512757	54
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.17964052471475475	0.869161493653545	55
KEGG_VIBRIO_CHOLERAE_INFECTION	0.1827012820145786	0.868290232851176	56
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.08731313050846581	0.857940213834933	57
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.061518502224914964	0.8015434363194001	58
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.2666866909786935	0.7942877969171448	59
KEGG_ETHER_LIPID_METABOLISM	0.1159731666124031	0.7359846703813642	60
KEGG_RIBOFLAVIN_METABOLISM	0.05448112518429204	0.6990623806817767	61
KEGG_GLIOMA	0.21562882648573792	0.6910363488408718	62
KEGG_VIRAL_MYOCARDITIS	0.2243776802701499	0.6719181382674404	63
KEGG_PANCREATIC_CANCER	0.23015623748529943	0.626855675340513	64
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.11416825515812805	0.599687648141506	65
