Pathway	#Overlap Gene	p-value	FDR	Rank
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	8	7.542636402392637e-06	0.0013275040068211042	1
KEGG_GAP_JUNCTION	5	2.325397474555532e-05	0.002046349777608868	2
KEGG_MELANOGENESIS	5	4.0543742686407715e-05	0.002378566237602586	3
KEGG_PPAR_SIGNALING_PATHWAY	4	0.00013395509839626938	0.005894024329435852	4
KEGG_O_GLYCAN_BIOSYNTHESIS	3	0.00019227926457620413	0.0067682301130823855	5
KEGG_TYROSINE_METABOLISM	3	0.000489849452701554	0.013227329939985212	6
KEGG_FATTY_ACID_METABOLISM	3	0.0005260869862494118	0.013227329939985212	7
KEGG_CHEMOKINE_SIGNALING_PATHWAY	5	0.0007312423919976916	0.016087332623949215	8
KEGG_CELL_ADHESION_MOLECULES_CAMS	4	0.0015171452854362685	0.029668618915198137	9
KEGG_PURINE_METABOLISM	4	0.002860245760203385	0.05034032537957958	10
KEGG_CALCIUM_SIGNALING_PATHWAY	4	0.004483409121083699	0.06927094778220266	11
KEGG_DILATED_CARDIOMYOPATHY	3	0.004723019166968363	0.06927094778220266	12
KEGG_FOCAL_ADHESION	4	0.006634770826697492	0.08982458965375065	13
KEGG_PRION_DISEASES	2	0.0075858713162896985	0.09171581757384982	14
KEGG_OOCYTE_MEIOSIS	3	0.007816688997771291	0.09171581757384982	15
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	2	0.010791548828788241	0.11537143367175358	16
KEGG_ABC_TRANSPORTERS	2	0.011799351170974798	0.11537143367175358	17
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	2	0.011799351170974798	0.11537143367175358	18
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	2	0.01284680086743105	0.11900194487725604	19
KEGG_TASTE_TRANSDUCTION	2	0.015634702199639937	0.13758537935683146	20
KEGG_MAPK_SIGNALING_PATHWAY	4	0.01686416541230532	0.13822036031510032	21
KEGG_HEDGEHOG_SIGNALING_PATHWAY	2	0.018656622872944915	0.13822036031510032	22
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	2	0.018656622872944915	0.13822036031510032	23
KEGG_WNT_SIGNALING_PATHWAY	3	0.018848230952059133	0.13822036031510032	24
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	2	0.021903040386164245	0.15419740431859627	25
KEGG_RETINOL_METABOLISM	2	0.02395478899050651	0.1594352659469073	26
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	2	0.02536470140064434	0.1594352659469073	27
KEGG_LONG_TERM_POTENTIATION	2	0.02536470140064434	0.1594352659469073	28
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	2	0.02754126399237493	0.15967938317086489	29
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	2	0.02754126399237493	0.15967938317086489	30
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	2	0.029032615121975434	0.15967938317086489	31
KEGG_MELANOMA	2	0.029032615121975434	0.15967938317086489	32
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	2	0.03695251157154624	0.1970800617149133	33
KEGG_TGF_BETA_SIGNALING_PATHWAY	2	0.03862537260051397	0.1971524666551224	34
KEGG_ECM_RECEPTOR_INTERACTION	2	0.039472487903495876	0.1971524666551224	35
KEGG_HEMATOPOIETIC_CELL_LINEAGE	2	0.040326640906729584	0.1971524666551224	36
KEGG_APOPTOSIS	2	0.042055805783841646	0.20004923832313865	37
KEGG_PROSTATE_CANCER	2	0.043812362485180216	0.2029204157208347	38
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	3	0.045363004996579186	0.20471509947174196	39
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	1	0.05448112518429204	0.2247045257806026	40
KEGG_RIBOFLAVIN_METABOLISM	1	0.05448112518429204	0.2247045257806026	41
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.05448112518429204	0.2247045257806026	42
KEGG_GNRH_SIGNALING_PATHWAY	2	0.05489940118503359	0.2247045257806026	43
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	1	0.058006352613092456	0.23202541045236982	44
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1	0.061518502224914964	0.24060569759077854	45
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	2	0.06788377657583335	0.25972923211623195	46
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1	0.07888476639008075	0.28976448740412475	47
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	3	0.0813572996458628	0.28976448740412475	48
KEGG_NITROGEN_METABOLISM	1	0.08231945664889909	0.28976448740412475	49
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1	0.08231945664889909	0.28976448740412475	50
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1	0.0857414033007164	0.29552136479788427	51
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	2	0.08731313050846581	0.29552136479788427	52
KEGG_JAK_STAT_SIGNALING_PATHWAY	2	0.11416825515812805	0.3779866171070916	53
KEGG_ETHER_LIPID_METABOLISM	1	0.1159731666124031	0.3779866171070916	54
KEGG_BUTANOATE_METABOLISM	1	0.11927023638727523	0.3816647564392807	55
KEGG_PATHWAYS_IN_CANCER	3	0.12213942473611886	0.38386676345637355	56
KEGG_BLADDER_CANCER	1	0.14200964902135554	0.4309258315130789	57
KEGG_TYPE_I_DIABETES_MELLITUS	1	0.14200964902135554	0.4309258315130789	58
KEGG_ENDOCYTOSIS	2	0.14663900248658895	0.4353027162510648	59
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.14839865326740845	0.4353027162510648	60
KEGG_GLYCEROLIPID_METABOLISM	1	0.16728302279693283	0.46703027241793066	61
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	0.1734847530983269	0.46703027241793066	62
KEGG_STARCH_AND_SUCROSE_METABOLISM	1	0.1734847530983269	0.46703027241793066	63
KEGG_ENDOMETRIAL_CANCER	1	0.17656836250344804	0.46703027241793066	64
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	0.17964052471475475	0.46703027241793066	65
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.1827012820145786	0.46703027241793066	66
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.1827012820145786	0.46703027241793066	67
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.18575067652985877	0.46703027241793066	68
KEGG_BASAL_CELL_CARCINOMA	1	0.18575067652985877	0.46703027241793066	69
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1	0.18575067652985877	0.46703027241793066	70
KEGG_ARACHIDONIC_ACID_METABOLISM	1	0.19483110231887726	0.48296160574820285	71
KEGG_GLIOMA	1	0.21562882648573792	0.5270926869651371	72
KEGG_VIRAL_MYOCARDITIS	1	0.2243776802701499	0.5409653661307723	73
KEGG_PANCREATIC_CANCER	1	0.23015623748529943	0.5473986188839554	74
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.24158515430829058	0.5493921176561423	75
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.24441590544927158	0.5493921176561423	76
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	0.24723614356416193	0.5493921176561423	77
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.24723614356416193	0.5493921176561423	78
KEGG_VEGF_SIGNALING_PATHWAY	1	0.24723614356416193	0.5493921176561423	79
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0.2528452359667473	0.5493921176561423	80
KEGG_PEROXISOME	1	0.2528452359667473	0.5493921176561423	81
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1	0.2666866909786935	0.5724007025884154	82
KEGG_ERBB_SIGNALING_PATHWAY	1	0.27215156352851616	0.577092472060468	83
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.31699665613928263	0.664183470006116	84
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.33215887358900786	0.6877642559019457	85
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.34942531290522044	0.7151029659455674	86
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.36148583520362737	0.7312816896073381	87
