Pathway	p-value	Combined score	Rank
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.00391954311211946	7.341745179259899	1
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.058007403800824676	4.467867813482499	2
KEGG_BETA_ALANINE_METABOLISM	0.07888617989574304	3.7854800885979745	3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.10600996097639219	2.7774053409842256	4
KEGG_BUTANOATE_METABOLISM	0.11927232558561918	2.3715472314631985	5
KEGG_PRIMARY_IMMUNODEFICIENCY	0.11927232558561918	2.3046523164978976	6
KEGG_TYPE_I_DIABETES_MELLITUS	0.1420121036231026	2.1052092941890415	7
KEGG_TYROSINE_METABOLISM	0.1420121036231026	2.0805757162835663	8
KEGG_ABC_TRANSPORTERS	0.15157798620688318	1.8080501813621528	9
KEGG_BASAL_CELL_CARCINOMA	0.18575380223702434	1.5584971855685414	10
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.18575380223702434	1.5582872695850971	11
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.18879192095559083	1.5528042862847125	12
KEGG_WNT_SIGNALING_PATHWAY	0.10816487221238341	1.5153472421981504	13
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.0813607822767161	1.37421946654839	14
KEGG_VIRAL_MYOCARDITIS	0.2243813623461025	1.2727231626694469	15
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.22727605580055735	1.2163717730364836	16
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.22727605580055735	1.1775530589354972	17
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.26669094130985216	1.0630194402134436	18
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.25284930526715976	1.047432697355321	19
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.24158907281598702	0.9749958489383053	20
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.25284930526715976	0.9383557676475772	21
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.26669094130985216	0.811617700757263	22
KEGG_DILATED_CARDIOMYOPATHY	0.2856415971696752	0.7415302852139619	23
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.3469913472233962	0.6355625408395619	24
KEGG_MAPK_SIGNALING_PATHWAY	0.2542053605983661	0.5935591141887178	25
KEGG_SPLICEOSOME	0.37800323177641554	0.5421048727262122	26
KEGG_PARKINSONS_DISEASE	0.37800323177641554	0.5095211954757132	27
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.3940903472730736	0.504393608397366	28
KEGG_TIGHT_JUNCTION	0.384949100754226	0.4858587742309748	29
KEGG_ENDOCYTOSIS	0.49188860381449767	0.2926519753287806	30
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.5476252896907498	0.22404219315243762	31
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.6277893318868548	0.13636531111968256	32
KEGG_PATHWAYS_IN_CANCER	0.7039857338710641	0.09437271969683206	33
KEGG_OLFACTORY_TRANSDUCTION	0.7628683762552184	0.05416330401075071	34
KEGG_VIBRIO_CHOLERAE_INFECTION	1.0	0.0	35
KEGG_VEGF_SIGNALING_PATHWAY	1.0	0.0	36
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1.0	0.0	37
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1.0	0.0	38
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1.0	0.0	39
KEGG_TYPE_II_DIABETES_MELLITUS	1.0	0.0	40
KEGG_TRYPTOPHAN_METABOLISM	1.0	0.0	41
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.0	0.0	42
KEGG_THYROID_CANCER	1.0	0.0	43
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1.0	0.0	44
KEGG_TASTE_TRANSDUCTION	1.0	0.0	45
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1.0	0.0	46
KEGG_STEROID_BIOSYNTHESIS	1.0	0.0	47
KEGG_STARCH_AND_SUCROSE_METABOLISM	1.0	0.0	48
KEGG_SPHINGOLIPID_METABOLISM	1.0	0.0	49
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1.0	0.0	50
KEGG_SMALL_CELL_LUNG_CANCER	1.0	0.0	51
KEGG_SELENOAMINO_ACID_METABOLISM	1.0	0.0	52
KEGG_RNA_POLYMERASE	1.0	0.0	53
KEGG_RNA_DEGRADATION	1.0	0.0	54
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.0	0.0	55
KEGG_RIBOFLAVIN_METABOLISM	1.0	0.0	56
KEGG_RETINOL_METABOLISM	1.0	0.0	57
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1.0	0.0	58
KEGG_RENAL_CELL_CARCINOMA	1.0	0.0	59
KEGG_REGULATION_OF_AUTOPHAGY	1.0	0.0	60
KEGG_PYRUVATE_METABOLISM	1.0	0.0	61
KEGG_PYRIMIDINE_METABOLISM	1.0	0.0	62
KEGG_PURINE_METABOLISM	1.0	0.0	63
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1.0	0.0	64
KEGG_PROTEIN_EXPORT	1.0	0.0	65
KEGG_PROSTATE_CANCER	1.0	0.0	66
KEGG_PROPANOATE_METABOLISM	1.0	0.0	67
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.0	0.0	68
KEGG_PRION_DISEASES	1.0	0.0	69
KEGG_PPAR_SIGNALING_PATHWAY	1.0	0.0	70
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1.0	0.0	71
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1.0	0.0	72
KEGG_PHENYLALANINE_METABOLISM	1.0	0.0	73
KEGG_PEROXISOME	1.0	0.0	74
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1.0	0.0	75
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1.0	0.0	76
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1.0	0.0	77
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	1.0	0.0	78
KEGG_PANCREATIC_CANCER	1.0	0.0	79
KEGG_P53_SIGNALING_PATHWAY	1.0	0.0	80
KEGG_O_GLYCAN_BIOSYNTHESIS	1.0	0.0	81
KEGG_OXIDATIVE_PHOSPHORYLATION	1.0	0.0	82
KEGG_OTHER_GLYCAN_DEGRADATION	1.0	0.0	83
KEGG_OOCYTE_MEIOSIS	1.0	0.0	84
KEGG_ONE_CARBON_POOL_BY_FOLATE	1.0	0.0	85
KEGG_N_GLYCAN_BIOSYNTHESIS	1.0	0.0	86
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1.0	0.0	87
KEGG_NOTCH_SIGNALING_PATHWAY	1.0	0.0	88
KEGG_NON_SMALL_CELL_LUNG_CANCER	1.0	0.0	89
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.0	0.0	90
KEGG_NITROGEN_METABOLISM	1.0	0.0	91
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1.0	0.0	92
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1.0	0.0	93
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1.0	0.0	94
KEGG_MTOR_SIGNALING_PATHWAY	1.0	0.0	95
KEGG_MISMATCH_REPAIR	1.0	0.0	96
KEGG_MELANOMA	1.0	0.0	97
KEGG_MELANOGENESIS	1.0	0.0	98
KEGG_LYSOSOME	1.0	0.0	99
KEGG_LYSINE_DEGRADATION	1.0	0.0	100
KEGG_LONG_TERM_POTENTIATION	1.0	0.0	101
KEGG_LONG_TERM_DEPRESSION	1.0	0.0	102
KEGG_LINOLEIC_ACID_METABOLISM	1.0	0.0	103
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1.0	0.0	104
KEGG_LEISHMANIA_INFECTION	1.0	0.0	105
KEGG_JAK_STAT_SIGNALING_PATHWAY	1.0	0.0	106
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.0	0.0	107
KEGG_INSULIN_SIGNALING_PATHWAY	1.0	0.0	108
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1.0	0.0	109
KEGG_HUNTINGTONS_DISEASE	1.0	0.0	110
