Pathway	p-value	Combined score	Rank
KEGG_GLUTATHIONE_METABOLISM	0.000828324384600967	7.468325381425321	1
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.0011603049370741527	7.456343774775942	2
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.002230365937535921	5.984856519643124	3
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.010791931467578932	5.7006001229309895	4
KEGG_TASTE_TRANSDUCTION	0.015635250266568645	4.1583624020732985	5
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.058007403800824676	3.813666508338272	6
KEGG_ARACHIDONIC_ACID_METABOLISM	0.019929466784186996	3.790547998227647	7
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.06151961496839868	3.6179939058541137	8
KEGG_RETINOL_METABOLISM	0.023955614875291544	3.4891112565472633	9
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.02903360710069716	3.4040037552954483	10
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.058007403800824676	3.0672456264783574	11
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.06151961496839868	3.037134575429675	12
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.04032799401893798	2.6782095773769488	13
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.08915224183440658	2.5514331212717125	14
KEGG_PYRIMIDINE_METABOLISM	0.0511043058883346	2.464569887340033	15
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.0823209289219545	2.334715105500058	16
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.09930445148443523	2.0016222268342436	17
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.09593295401666213	1.9832275549914662	18
KEGG_REGULATION_OF_AUTOPHAGY	0.12255721331817573	1.9527913480322259	19
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.08574293388551509	1.927267171224092	20
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.11266579696375331	1.7082535213904453	21
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.13879968848793278	1.643805904034705	22
KEGG_TIGHT_JUNCTION	0.08508180064190057	1.4775675275905635	23
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.14521259562689587	1.4256872017781672	24
