Pathway	#Overlap Gene	p-value	FDR	Rank
KEGG_HOMOLOGOUS_RECOMBINATION	2	0.004902345469643801	0.862812802657309	1
KEGG_ABC_TRANSPORTERS	1	0.15157538122313946	1.0	2
KEGG_ACUTE_MYELOID_LEUKEMIA	0	1.0	1.0	3
KEGG_ADHERENS_JUNCTION	0	1.0	1.0	4
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0	1.0	1.0	5
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	0.10600808994733664	1.0	6
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0	1.0	1.0	7
KEGG_ALLOGRAFT_REJECTION	0	1.0	1.0	8
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0	1.0	1.0	9
KEGG_ALZHEIMERS_DISEASE	1	0.4604935119741926	1.0	10
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0	1.0	1.0	11
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0	1.0	1.0	12
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0	1.0	1.0	13
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0	1.0	1.0	14
KEGG_APOPTOSIS	0	1.0	1.0	15
KEGG_ARACHIDONIC_ACID_METABOLISM	1	0.19483110231887726	1.0	16
KEGG_ARGININE_AND_PROLINE_METABOLISM	0	1.0	1.0	17
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.24158515430829058	1.0	18
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0	1.0	1.0	19
KEGG_ASTHMA	0	1.0	1.0	20
KEGG_AUTOIMMUNE_THYROID_DISEASE	0	1.0	1.0	21
KEGG_AXON_GUIDANCE	2	0.08396877874772998	1.0	22
KEGG_BASAL_CELL_CARCINOMA	0	1.0	1.0	23
KEGG_BASAL_TRANSCRIPTION_FACTORS	0	1.0	1.0	24
KEGG_BASE_EXCISION_REPAIR	0	1.0	1.0	25
KEGG_BETA_ALANINE_METABOLISM	1	0.07888476639008075	1.0	26
