Pathway	#Overlap Gene	p-value	FDR
KEGG_N_GLYCAN_BIOSYNTHESIS	0	1.0	1.0
KEGG_OTHER_GLYCAN_DEGRADATION	0	1.0	1.0
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0.10600996097639219	0.7703596265713903
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0	1.0	1.0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0	1.0	1.0
KEGG_GLYCEROLIPID_METABOLISM	0	1.0	1.0
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0	1.0	1.0
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	0.2472401381404502	0.8667745017562558
KEGG_ETHER_LIPID_METABOLISM	1	0.11597520191680218	0.7703596265713903
KEGG_ARACHIDONIC_ACID_METABOLISM	2	0.019929466784186996	0.5845976923361519
KEGG_LINOLEIC_ACID_METABOLISM	0	1.0	1.0
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0	1.0	1.0
KEGG_SPHINGOLIPID_METABOLISM	0	1.0	1.0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0	1.0	1.0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0	1.0	1.0
KEGG_RIBOFLAVIN_METABOLISM	0	1.0	1.0
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1	0.08574293388551509	0.7703596265713903
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	1	0.058007403800824676	0.7703596265713903
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0	1.0	1.0
KEGG_BASAL_TRANSCRIPTION_FACTORS	0	1.0	1.0
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0	1.0	1.0
KEGG_LYSOSOME	0	1.0	1.0
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	0.25284930526715976	0.8667745017562558
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1	0.06151961496839868	0.7703596265713903
KEGG_TASTE_TRANSDUCTION	2	0.015635250266568645	0.5503608093832163
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1	0.0823209289219545	0.7703596265713903
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.18879192095559083	0.8104238558093656
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0	1.0	1.0
