NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAS	714	1.162737250328064	0.061616324	Yes	
row_1	GZMB	996	0.9959763884544373	0.120562635	Yes	
row_2	IL10	1092	0.9527682065963745	0.18019398	Yes	
row_3	TSHR	1315	0.8749258518218994	0.23243949	Yes	
row_4	CTLA4	1445	0.8363808393478394	0.28393573	Yes	
row_5	CD28	1462	0.8306884169578552	0.337173	Yes	
row_6	HLA-A	2016	0.7215421199798584	0.3733588	Yes	
row_7	FASLG	2256	0.6809713840484619	0.4127873	Yes	
row_8	HLA-C	2401	0.6581213474273682	0.45251533	Yes	
row_9	TPO	2598	0.6331788897514343	0.48966587	Yes	
row_10	HLA-DOB	2748	0.6139379739761353	0.52645314	Yes	
row_11	HLA-DOA	3100	0.5736140608787537	0.55687344	Yes	
row_12	HLA-DQA1	3371	0.5445830821990967	0.5869338	Yes	
row_13	CD40LG	5965	0.35235390067100525	0.5612716	Yes	
row_14	PRF1	6091	0.34589603543281555	0.5812319	Yes	
row_15	TSHB	6804	0.3120010197162628	0.58805776	Yes	
row_16	CD40	6975	0.3035932183265686	0.6044523	Yes	
row_17	HLA-DPB1	7148	0.29426199197769165	0.62020826	Yes	
row_18	IFNA1	7660	0.2726356089115143	0.6282466	Yes	
row_19	HLA-DMB	8468	0.24816131591796875	0.629186	Yes	
row_20	HLA-DRA	8504	0.2459554821252823	0.64438426	Yes	
row_21	HLA-DPA1	8667	0.2403755635023117	0.65685385	Yes	
row_22	CGA	9227	0.22021406888961792	0.66061836	Yes	
row_23	HLA-B	9724	0.20079286396503448	0.6643064	Yes	
row_24	IFNA8	9869	0.19958607852458954	0.67448306	Yes	
row_25	HLA-E	10738	0.1698588877916336	0.6692381	No	
row_26	IFNA16	12436	0.14638099074363708	0.6470157	No	
row_27	HLA-F	13900	0.12026046961545944	0.62747496	No	
row_28	HLA-DRB1	14586	0.09880045801401138	0.6210642	No	
row_29	CD86	14768	0.09310633689165115	0.6236882	No	
row_30	HLA-DMA	18117	0.021010393276810646	0.5625878	No	
row_31	CD80	18370	0.013941713608801365	0.5587854	No	
row_32	TG	18939	0.0	0.54818976	No	
row_33	IL2	19104	0.0	0.5451305	No	
row_34	IFNA6	19168	0.0	0.54395527	No	
row_35	IFNA21	19359	0.0	0.54041094	No	
row_36	IFNA10	20354	0.0	0.5218686	No	
row_37	IFNA2	20435	0.0	0.52037627	No	
row_38	HLA-G	21609	0.0	0.49849477	No	
row_39	IFNA7	22661	0.0	0.4788891	No	
row_40	IFNA13	26609	0.0	0.40526068	No	
row_41	IFNA17	26916	0.0	0.39955246	No	
row_42	IFNA4	27448	0.0	0.38964704	No	
row_43	HLA-DQB1	37951	-0.001732283621095121	0.19385144	No	
row_44	IL4	41636	-0.05028414726257324	0.12836975	No	
row_45	IFNA5	44052	-0.11750555038452148	0.090892605	No	
row_46	IFNA14	47213	-0.2312597781419754	0.046849187	No	
row_47	HLA-DRB5	48197	-0.2788098454475403	0.04648062	No	
row_48	HLA-DQA2	48313	-0.2852458953857422	0.06271876	No	
row_49	IL5	51487	-0.5730622410774231	0.040461138	No	
