NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F5	8	4.071269989013672	0.11024055	Yes	
row_1	CFD	86	2.320713996887207	0.17172831	Yes	
row_2	TFPI	172	1.9066383838653564	0.2218394	Yes	
row_3	SERPIND1	199	1.8340144157409668	0.2710823	Yes	
row_4	SERPINF2	212	1.8016241788864136	0.31970826	Yes	
row_5	C4BPA	293	1.5894558429718018	0.36131245	Yes	
row_6	CFI	525	1.3272441625595093	0.39298916	Yes	
row_7	SERPINE1	750	1.1342487335205078	0.41956353	Yes	
row_8	SERPINA1	788	1.1040079593658447	0.44880754	Yes	
row_9	KLKB1	1467	0.8296527862548828	0.45865095	Yes	
row_10	C4BPB	1478	0.8279889822006226	0.4809147	Yes	
row_11	F13A1	1542	0.8136695623397827	0.5018012	Yes	
row_12	CD59	2081	0.7082643508911133	0.51096576	Yes	
row_13	CD55	2146	0.6975570321083069	0.5286853	Yes	
row_14	CFB	2245	0.6826744079589844	0.54536676	Yes	
row_15	SERPING1	2435	0.6518002152442932	0.55951303	Yes	
row_16	MASP2	2555	0.6381895542144775	0.57459646	Yes	
row_17	PROC	2799	0.6077129244804382	0.58653957	Yes	
row_18	C4A	2814	0.6056066751480103	0.602699	Yes	
row_19	C3	2848	0.6006112694740295	0.6183683	Yes	
row_20	CFH	3134	0.5706015229225159	0.6285215	Yes	
row_21	VWF	3575	0.5216799378395081	0.6344557	Yes	
row_22	F3	4235	0.4606476426124573	0.6346483	Yes	
row_23	BDKRB1	4263	0.45825761556625366	0.64656985	Yes	
row_24	PLAU	5538	0.37262529134750366	0.63289934	No	
row_25	C9	5785	0.36081480979919434	0.63809204	No	
row_26	F8	6426	0.33017826080322266	0.6351016	No	
row_27	C1R	7128	0.294895738363266	0.63001627	No	
row_28	C5AR1	7566	0.2767041325569153	0.6293641	No	
row_29	F13B	8137	0.2612553834915161	0.62581116	No	
row_30	PLG	8936	0.22896195948123932	0.6171279	No	
row_31	C1S	9069	0.22336143255233765	0.620721	No	
row_32	C1QB	9946	0.1969165802001953	0.6097133	No	
row_33	THBD	10846	0.16569183766841888	0.5974298	No	
row_34	FGG	11089	0.15722042322158813	0.5971768	No	
row_35	F11	12545	0.14366286993026733	0.5739205	No	
row_36	MBL2	13182	0.142364963889122	0.5659123	No	
row_37	BDKRB2	13336	0.13840855658054352	0.5668101	No	
row_38	A2M	14364	0.10549695789813995	0.5505058	No	
row_39	C1QA	14508	0.10097819566726685	0.55057526	No	
row_40	CD46	14856	0.09026278555393219	0.54654735	No	
row_41	C1QC	15204	0.08026983588933945	0.5422485	No	
row_42	C3AR1	15332	0.07715973258018494	0.5419707	No	
row_43	C2	15389	0.07523249834775925	0.54296553	No	
row_44	PROS1	16359	0.04950008913874626	0.52622527	No	
row_45	SERPINC1	18429	0.012641035951673985	0.48795867	No	
row_46	PLAT	18749	0.00351490150205791	0.48210114	No	
row_47	C8B	18932	0.0	0.47870484	No	
row_48	CPB2	18986	0.0	0.47771582	No	
row_49	F9	19044	0.0	0.47665215	No	
row_50	C7	19122	0.0	0.47521526	No	
row_51	MASP1	19243	0.0	0.47297597	No	
row_52	SERPINA5	20442	0.0	0.4506202	No	
row_53	CR1	21525	0.0	0.43042913	No	
row_54	C4B	23849	0.0	0.38707986	No	
row_55	C8A	39283	-0.02554296888411045	0.09977887	No	
row_56	C6	41803	-0.05499553680419922	0.05426324	No	
row_57	F7	43894	-0.11384876817464828	0.018348908	No	
row_58	FGB	44192	-0.12099236994981766	0.016087253	No	
row_59	F2R	44559	-0.13332132995128632	0.012872286	No	
row_60	F2	45845	-0.1754465103149414	-0.0063498444	No	
row_61	PLAUR	46114	-0.1864909827709198	-0.0062943823	No	
row_62	F12	46560	-0.20526659488677979	-0.00903281	No	
row_63	F10	47828	-0.26094597578048706	-0.025600782	No	
row_64	C5	50646	-0.4668552577495575	-0.06551004	No	
row_65	KNG1	50683	-0.470479816198349	-0.05342508	No	
row_66	FGA	53066	-1.037906289100647	-0.06973318	No	
row_67	C8G	53433	-1.4342154264450073	-0.037675247	No	
row_68	CR2	53493	-1.5422747135162354	0.0030415375	No	
