NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFNE	9	3.966705083847046	0.037287045	Yes	
row_1	TNFRSF17	95	2.265777587890625	0.05708968	Yes	
row_2	LEPR	161	1.9601329565048218	0.074380845	Yes	
row_3	TNFRSF18	240	1.729293704032898	0.089248836	Yes	
row_4	IFNG	272	1.6532703638076782	0.104279235	Yes	
row_5	EGF	312	1.5590590238571167	0.11827022	Yes	
row_6	TGFB3	322	1.5465519428253174	0.13270497	Yes	
row_7	CCL13	354	1.5084893703460693	0.14636828	Yes	
row_8	CD27	361	1.4926167726516724	0.16034994	Yes	
row_9	CCR10	432	1.4055049419403076	0.17231038	Yes	
row_10	IL18	441	1.394904375076294	0.18533194	Yes	
row_11	CCL24	490	1.3539998531341553	0.19721809	Yes	
row_12	TNFRSF10B	536	1.3209835290908813	0.20884866	Yes	
row_13	FAS	714	1.162737250328064	0.21651277	Yes	
row_14	BMPR1B	925	1.0365068912506104	0.22236688	Yes	
row_15	IL10	1092	0.9527682065963745	0.22825438	Yes	
row_16	IL5RA	1097	0.9501737952232361	0.23715147	Yes	
row_17	CXCL1	1167	0.9252294898033142	0.24459565	Yes	
row_18	CXCL5	1201	0.9151490330696106	0.25261888	Yes	
row_19	CRLF2	1246	0.8978073000907898	0.26027235	Yes	
row_20	TNFRSF10C	1276	0.88703852891922	0.26810506	Yes	
row_21	CXCL12	1278	0.8867875933647156	0.27645984	Yes	
row_22	TNFRSF19	1292	0.8823210597038269	0.28454766	Yes	
row_23	CXCL2	1391	0.8513404130935669	0.290751	Yes	
row_24	KIT	1419	0.844670295715332	0.2982211	Yes	
row_25	CXCR1	1486	0.8261430263519287	0.30478585	Yes	
row_26	IL6ST	1526	0.8162794709205627	0.31176314	Yes	
row_27	AMHR2	1563	0.8091627955436707	0.3187294	Yes	
row_28	CCL17	1592	0.8026595711708069	0.32578412	Yes	
row_29	TGFB2	1602	0.7999595403671265	0.33316916	Yes	
row_30	CXCR2	1607	0.799695611000061	0.34064537	Yes	
row_31	CCL22	1723	0.7738123536109924	0.34579825	Yes	
row_32	IL11	1807	0.7575982213020325	0.35139737	Yes	
row_33	IL20RB	1869	0.7451865673065186	0.3572913	Yes	
row_34	TNFRSF8	2062	0.7120836973190308	0.36041918	Yes	
row_35	CSF3R	2104	0.7046406865119934	0.36630487	Yes	
row_36	IL19	2112	0.7034515738487244	0.37281612	Yes	
row_37	CCL28	2151	0.6971654295921326	0.37868738	Yes	
row_38	KITLG	2185	0.6914356350898743	0.3845982	Yes	
row_39	CCL11	2246	0.6825647354125977	0.38991958	Yes	
row_40	CXCL9	2251	0.6820166707038879	0.3962846	Yes	
row_41	FASLG	2256	0.6809713840484619	0.40263978	Yes	
row_42	PF4	2315	0.6707406640052795	0.40788695	Yes	
row_43	EPOR	2329	0.6685889363288879	0.4139566	Yes	
row_44	CSF2RB	2378	0.661728024482727	0.41930598	Yes	
row_45	IL2RB	2382	0.6613441705703735	0.42549455	Yes	
row_46	TNFSF9	2453	0.6500149965286255	0.43032128	Yes	
row_47	CCR3	2597	0.6335106492042542	0.43362495	Yes	
row_48	TPO	2598	0.6331788897514343	0.43960375	Yes	
row_49	CSF3	2629	0.6298068165779114	0.44498882	Yes	
row_50	LIF	2845	0.600850522518158	0.4466356	Yes	
row_51	IL1R1	2846	0.6007573008537292	0.45230827	Yes	
row_52	TNFRSF1A	2912	0.5946184396743774	0.45670554	Yes	
row_53	FLT3	2941	0.591117262840271	0.46176276	Yes	
row_54	CNTF	2960	0.5891537666320801	0.4669887	Yes	
row_55	IFNAR1	3050	0.5791131258010864	0.47079012	Yes	
row_56	IL10RA	3090	0.5747271180152893	0.47548655	Yes	
row_57	IL26	3297	0.5537364482879639	0.476857	Yes	
row_58	IL15RA	3320	0.5510239601135254	0.48164803	Yes	
row_59	ACVRL1	3573	0.5217429399490356	0.48185486	Yes	
row_60	TNFSF13B	3629	0.5155228972434998	0.4856926	Yes	
row_61	PF4V1	3646	0.513948380947113	0.49024588	Yes	
row_62	AMH	3649	0.5137426257133484	0.49505943	Yes	
row_63	CCL14	3672	0.5108049511909485	0.49947065	Yes	
row_64	TNFRSF11A	3760	0.5025078654289246	0.5025862	Yes	
row_65	CCL5	3841	0.49468669295310974	0.50575894	Yes	
row_66	IL17A	3844	0.49442633986473083	0.5103901	Yes	
row_67	IL6R	3887	0.4905966818332672	0.5142359	Yes	
row_68	TNFSF12	3978	0.48197489976882935	0.51710135	Yes	
row_69	XCR1	4017	0.47782638669013977	0.5209015	Yes	
row_70	IL1R2	4021	0.4775407016277313	0.5253545	Yes	
row_71	OSMR	4115	0.47049081325531006	0.5280553	Yes	
row_72	MPL	4203	0.46346142888069153	0.53080213	Yes	
row_73	CXCL3	4349	0.4516879916191101	0.5323515	Yes	
row_74	CCL2	4379	0.4488895535469055	0.536047	Yes	
row_75	TNFRSF4	4417	0.44636279344558716	0.5395688	Yes	
row_76	TNFRSF10A	4455	0.4438316524028778	0.5430667	Yes	
row_77	TNFSF15	4532	0.43901169300079346	0.54578865	Yes	
row_78	IL22RA2	4555	0.43697109818458557	0.54950273	Yes	
row_79	CLCF1	4557	0.43660688400268555	0.5536066	Yes	
row_80	IFNGR2	4569	0.4358150362968445	0.5575158	Yes	
row_81	CXCL13	4731	0.42465829849243164	0.55851024	Yes	
row_82	CD70	4751	0.4228690266609192	0.5621474	Yes	
row_83	IL12B	4987	0.40823090076446533	0.56160074	Yes	
row_84	CXCL6	5056	0.4036792814731598	0.5641389	Yes	
row_85	TNFSF10	5080	0.402306467294693	0.5675069	Yes	
row_86	CCR5	5109	0.4003784656524658	0.5707631	Yes	
row_87	TNFSF14	5110	0.4003261625766754	0.5745432	Yes	
row_88	IL23R	5187	0.3945816457271576	0.5768456	Yes	
row_89	IL20	5268	0.38856375217437744	0.57901627	Yes	
row_90	IL12A	5498	0.3747537434101105	0.57826596	Yes	
row_91	CCR7	5571	0.3715513050556183	0.5804258	Yes	
row_92	IL20RA	5576	0.37115126848220825	0.5838555	Yes	
row_93	IL3RA	5758	0.3625154495239258	0.5838886	Yes	
row_94	IL15	5858	0.3579011857509613	0.58541393	Yes	
row_95	TNFSF8	5890	0.35634085536003113	0.58819807	Yes	
row_96	CD40LG	5965	0.35235390067100525	0.5901392	Yes	
row_97	IL18RAP	6084	0.34651148319244385	0.5912011	Yes	
row_98	CXCL8	6111	0.3445966839790344	0.59396803	Yes	
row_99	IL17B	6282	0.3372201919555664	0.5939683	Yes	
row_100	IL2RA	6295	0.3364536762237549	0.5969205	Yes	
row_101	CTF1	6327	0.33498653769493103	0.599503	Yes	
row_102	VEGFB	6607	0.3225768506526947	0.59732354	Yes	
row_103	TNFRSF11B	6627	0.32164108753204346	0.6000048	Yes	
row_104	TNFSF13	6666	0.3195144534111023	0.60231006	Yes	
row_105	NGFR	6705	0.3176949620246887	0.6045982	Yes	
row_106	CD40	6975	0.3035932183265686	0.60242677	Yes	
row_107	TNFRSF21	7105	0.2959996163845062	0.60280573	Yes	
row_108	IL7R	7417	0.2816982865333557	0.5996409	Yes	
row_109	IFNA1	7660	0.2726356089115143	0.59768283	Yes	
row_110	TGFBR2	7674	0.27194148302078247	0.6000072	Yes	
row_111	LTBR	7953	0.2660905122756958	0.59731305	Yes	
row_112	CCR1	7979	0.2648204565048218	0.5993454	Yes	
row_113	CSF2	8190	0.25993719696998596	0.5978668	Yes	
row_114	LIFR	8264	0.2564939856529236	0.5989215	Yes	
row_115	TSLP	8301	0.2551434636116028	0.60065645	Yes	
row_116	PDGFRA	8371	0.2522510588169098	0.601746	Yes	
row_117	IL22	8480	0.2476140856742859	0.60206133	Yes	
row_118	OSM	8519	0.24549922347068787	0.6036678	Yes	
row_119	TGFB1	8525	0.24533711373806	0.60589075	Yes	
row_120	BMPR2	8683	0.23966391384601593	0.6052133	Yes	
row_121	ACVR1	8751	0.23662947118282318	0.6061928	Yes	
row_122	CCL8	8752	0.23659931123256683	0.6084269	Yes	
row_123	IL24	8809	0.2343880534172058	0.6095913	Yes	
row_124	CX3CR1	8843	0.23265793919563293	0.6111701	Yes	
row_125	CCR8	8856	0.23208563029766083	0.6131368	Yes	
row_126	CSF1R	8948	0.22833526134490967	0.6135886	Yes	
row_127	INHBE	9182	0.22264690697193146	0.611327	Yes	
row_128	KDR	9282	0.21782466769218445	0.61152965	Yes	
row_129	PRL	9336	0.21587124466896057	0.61257535	Yes	
row_130	IL1A	9448	0.2108192890882492	0.61248714	Yes	
row_131	TNFRSF13B	9484	0.20937678217887878	0.61380863	Yes	
row_132	TNFRSF9	9493	0.20919783413410187	0.61563414	Yes	
row_133	EGFR	9537	0.20752818882465363	0.6167884	Yes	
row_134	BMPR1A	9546	0.20733267068862915	0.6185963	Yes	
row_135	CCL7	9599	0.2055404633283615	0.6195632	Yes	
row_136	GHR	9670	0.20305825769901276	0.6201695	Yes	
row_137	HGF	9697	0.20182189345359802	0.6215883	Yes	
row_138	IFNL2	9799	0.19958747923374176	0.62158126	Yes	
row_139	IFNA8	9869	0.19958607852458954	0.62217355	Yes	
row_140	IL7	9902	0.19857332110404968	0.62344927	Yes	
row_141	CXCL14	10069	0.19242526590824127	0.6221572	No	
row_142	PDGFC	10174	0.18927432596683502	0.6219966	No	
row_143	IL21R	10435	0.18099993467330933	0.61883616	No	
row_144	CXCR6	10529	0.1773853898048401	0.6187693	No	
row_145	CCL16	10569	0.1757345348596573	0.6196982	No	
row_146	TNFSF18	10623	0.17359957098960876	0.6203448	No	
row_147	FLT4	10680	0.17176944017410278	0.6209179	No	
row_148	ACVR2A	10687	0.17160287499427795	0.6224259	No	
row_149	TNFRSF12A	11453	0.14680875837802887	0.60948443	No	
row_150	IFNA16	12436	0.14638099074363708	0.5924747	No	
row_151	IFNL1	12525	0.14408119022846222	0.59218705	No	
row_152	IFNW1	12901	0.14236557483673096	0.5865079	No	
row_153	FLT3LG	13358	0.1377185732126236	0.5792679	No	
row_154	IL21	13540	0.13106702268123627	0.57711554	No	
row_155	IL18R1	13744	0.12492719292640686	0.57449317	No	
row_156	IL1B	13885	0.12070941179990768	0.5730109	No	
row_157	IL10RB	14220	0.10970982909202576	0.56779134	No	
row_158	IL13RA1	14277	0.10851529985666275	0.56776714	No	
row_159	IL12RB1	14886	0.08963264524936676	0.55722624	No	
row_160	TGFBR1	14962	0.08853751420974731	0.5566576	No	
row_161	IFNL3	15237	0.07963527739048004	0.5522778	No	
row_162	CCL20	15391	0.07506504654884338	0.55012107	No	
row_163	CX3CL1	15535	0.07126042991876602	0.5481157	No	
row_164	TNFRSF1B	15768	0.06483694165945053	0.54438275	No	
row_165	VEGFD	15785	0.06436168402433395	0.54469085	No	
row_166	IL11RA	15963	0.05894149839878082	0.54193234	No	
row_167	EDA2R	16199	0.05302201583981514	0.5380317	No	
row_168	IL12RB2	16462	0.04747067764401436	0.5335729	No	
row_169	ACVR1B	16856	0.041867442429065704	0.52660775	No	
row_170	CCL21	17062	0.039795469492673874	0.52314407	No	
row_171	BMP7	17094	0.039286721497774124	0.52293444	No	
row_172	RELT	17984	0.024699099361896515	0.5065175	No	
row_173	LTB	18023	0.023813962936401367	0.5060307	No	
row_174	IL9R	18269	0.016462361440062523	0.5015975	No	
row_175	PLEKHO2	18495	0.01074557937681675	0.49748492	No	
row_176	IL4R	18735	0.00408571632578969	0.49304727	No	
row_177	CCL26	18917	0.0	0.4896573	No	
row_178	IL2	19104	0.0	0.4861737	No	
row_179	IL23A	19111	0.0	0.48606133	No	
row_180	TNFSF4	19150	0.0	0.48534963	No	
row_181	IFNA6	19168	0.0	0.48503122	No	
row_182	CCR2	19179	0.0	0.48484394	No	
row_183	GDF5	19233	0.0	0.4838513	No	
row_184	CCL25	19285	0.0	0.48289612	No	
row_185	GH2	19349	0.0	0.4817162	No	
row_186	IFNA21	19359	0.0	0.48154762	No	
row_187	IL9	19435	0.0	0.48014295	No	
row_188	IFNK	19457	0.0	0.47974965	No	
row_189	VEGFC	19481	0.0	0.4793189	No	
row_190	IL3	19618	0.0	0.4767717	No	
row_191	IL25	19652	0.0	0.47615367	No	
row_192	TNFRSF10D	19875	0.0	0.47199583	No	
row_193	CCR4	20236	0.0	0.46525335	No	
row_194	IFNA10	20354	0.0	0.46306205	No	
row_195	IFNA2	20435	0.0	0.46156374	No	
row_196	CCL27	22655	0.0	0.42000398	No	
row_197	IFNA7	22661	0.0	0.41991034	No	
row_198	IFNA13	26609	0.0	0.34598678	No	
row_199	IFNA17	26916	0.0	0.3402557	No	
row_200	IFNA4	27448	0.0	0.33031058	No	
row_201	TNFRSF6B	28787	0.0	0.30525112	No	
row_202	PPBPP1	29826	0.0	0.28581038	No	
row_203	GH1	32818	0.0	0.22979179	No	
row_204	INHBC	37911	-7.335097179748118E-4	0.13443041	No	
row_205	MET	37963	-0.002040581777691841	0.1334945	No	
row_206	PDGFB	37964	-0.0020940823014825583	0.13351427	No	
row_207	CXCL10	38131	-0.0063248202204704285	0.13046497	No	
row_208	IFNAR2	38247	-0.00978630781173706	0.12840354	No	
row_209	IFNGR1	38849	-0.025322120636701584	0.11738649	No	
row_210	CCL1	39545	-0.025543546304106712	0.104610994	No	
row_211	IFNB1	40214	-0.034490492194890976	0.092425674	No	
row_212	PPBP	41463	-0.0457010455429554	0.069483355	No	
row_213	CCL19	41508	-0.04692366346716881	0.069102354	No	
row_214	IL4	41636	-0.05028414726257324	0.067198575	No	
