NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLD4	15513	0.07162327319383621	-0.28563386	No	
row_1	RFC5	15662	0.0675927996635437	-0.28492633	No	
row_2	RPA2	19151	0.0	-0.34997547	No	
row_3	SSBP1	38559	-0.017410162836313248	-0.71101135	No	
row_4	RNASEH1	39976	-0.03360388055443764	-0.735695	No	
row_5	RNASEH2C	41671	-0.05148227512836456	-0.76464593	No	
row_6	POLD3	41691	-0.05192280188202858	-0.76233655	No	
row_7	RPA4	43830	-0.11157096177339554	-0.7964852	No	
row_8	RPA1	45148	-0.1505526602268219	-0.8133228	No	
row_9	POLE4	45222	-0.1532229632139206	-0.80682355	No	
row_10	RPA3	46095	-0.18561579287052155	-0.81356335	No	
row_11	PRIM1	46827	-0.21729165315628052	-0.81604856	No	
row_12	MCM4	47010	-0.2249162197113037	-0.8079041	No	
row_13	DNA2	48318	-0.28560715913772583	-0.81762666	Yes	
row_14	POLD2	48534	-0.2988877594470978	-0.8063027	Yes	
row_15	POLD1	48813	-0.31721553206443787	-0.79521346	Yes	
row_16	POLE3	49323	-0.3506689667701721	-0.786716	Yes	
row_17	RFC2	50070	-0.40869590640068054	-0.77966154	Yes	
row_18	POLE	50073	-0.4088597893714905	-0.7587235	Yes	
row_19	RFC1	50365	-0.43678784370422363	-0.7417424	Yes	
row_20	POLE2	50977	-0.5017951726913452	-0.7273941	Yes	
row_21	LIG1	51251	-0.5381114482879639	-0.70487916	Yes	
row_22	MCM5	51688	-0.6015603542327881	-0.68214905	Yes	
row_23	MCM6	51690	-0.6021056771278381	-0.6512785	Yes	
row_24	POLA2	51764	-0.61504065990448	-0.6210871	Yes	
row_25	RNASEH2A	52100	-0.676002562046051	-0.5926543	Yes	
row_26	FEN1	52277	-0.719937801361084	-0.55900234	Yes	
row_27	MCM7	52448	-0.7703759074211121	-0.5226509	Yes	
row_28	PRIM2	52686	-0.8521542549133301	-0.4833536	Yes	
row_29	PCNA	52766	-0.888698935508728	-0.43923485	Yes	
row_30	RNASEH2B	53079	-1.0464376211166382	-0.3913691	Yes	
row_31	RFC4	53206	-1.1354658603668213	-0.33546725	Yes	
row_32	MCM3	53257	-1.1875823736190796	-0.27547437	Yes	
row_33	POLA1	53453	-1.459579348564148	-0.20423165	Yes	
row_34	MCM2	53508	-1.5850275754928589	-0.12392361	Yes	
row_35	RFC3	53633	-2.4690070152282715	4.2889232E-4	Yes	
