NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NBN	7659	0.2726634740829468	-0.11668029	No	
row_1	POLD4	15513	0.07162327319383621	-0.2562473	No	
row_2	TOP3A	15993	0.058154091238975525	-0.25960508	No	
row_3	RPA2	19151	0.0	-0.3184725	No	
row_4	SSBP1	38559	-0.017410162836313248	-0.6786789	No	
row_5	XRCC3	38619	-0.018352005630731583	-0.67802	No	
row_6	POLD3	41691	-0.05192280188202858	-0.7303071	No	
row_7	RPA4	43830	-0.11157096177339554	-0.75947976	No	
row_8	RAD52	44894	-0.14340125024318695	-0.7655564	Yes	
row_9	RPA1	45148	-0.1505526602268219	-0.7558438	Yes	
row_10	RAD54B	45685	-0.17007987201213837	-0.74953663	Yes	
row_11	MUS81	46040	-0.18311601877212524	-0.73858625	Yes	
row_12	RPA3	46095	-0.18561579287052155	-0.72180223	Yes	
row_13	BLM	47778	-0.2580132782459259	-0.7284358	Yes	
row_14	RAD51B	47784	-0.2583772540092468	-0.70376414	Yes	
row_15	POLD2	48534	-0.2988877594470978	-0.6890827	Yes	
row_16	SEM1	48538	-0.2990902066230774	-0.66047144	Yes	
row_17	POLD1	48813	-0.31721553206443787	-0.6351761	Yes	
row_18	TOP3B	50323	-0.43269646167755127	-0.62184083	Yes	
row_19	RAD50	51056	-0.5115648508071899	-0.5864577	Yes	
row_20	EME1	51407	-0.5608925223350525	-0.5392236	Yes	
row_21	RAD51	51509	-0.5765811800956726	-0.48584282	Yes	
row_22	MRE11	51840	-0.6259291172027588	-0.4320022	Yes	
row_23	XRCC2	52019	-0.6600139141082764	-0.3720603	Yes	
row_24	RAD51C	52193	-0.697266697883606	-0.30845457	Yes	
row_25	BRCA2	52511	-0.7906678915023804	-0.23858164	Yes	
row_26	RAD54L	53376	-1.3389630317687988	-0.12635545	Yes	
row_27	RAD51D	53396	-1.3725677728652954	0.004848077	Yes	
