NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MSH6	5827	0.35913023352622986	-0.06750432	No	
row_1	POLD4	15513	0.07162327319383621	-0.2398754	No	
row_2	RFC5	15662	0.0675927996635437	-0.23489189	No	
row_3	MLH1	16077	0.0560699924826622	-0.23618789	No	
row_4	MSH3	16279	0.0512707345187664	-0.23406228	No	
row_5	RPA2	19151	0.0	-0.28759176	No	
row_6	SSBP1	38559	-0.017410162836313248	-0.64743876	No	
row_7	POLD3	41691	-0.05192280188202858	-0.69986796	No	
row_8	MLH3	41747	-0.05348353087902069	-0.69476676	No	
row_9	RPA4	43830	-0.11157096177339554	-0.72080463	No	
row_10	EXO1	44429	-0.129124253988266	-0.71716267	No	
row_11	RPA1	45148	-0.1505526602268219	-0.71330345	No	
row_12	RPA3	46095	-0.18561579287052155	-0.70967865	No	
row_13	POLD2	48534	-0.2988877594470978	-0.7208964	Yes	
row_14	POLD1	48813	-0.31721553206443787	-0.6897417	Yes	
row_15	RFC2	50070	-0.40869590640068054	-0.6663423	Yes	
row_16	PMS2	50228	-0.4231204688549042	-0.62079984	Yes	
row_17	RFC1	50365	-0.43678784370422363	-0.5733002	Yes	
row_18	MSH2	51032	-0.5082234144210815	-0.5274992	Yes	
row_19	LIG1	51251	-0.5381114482879639	-0.46992147	Yes	
row_20	PCNA	52766	-0.888698935508728	-0.3963467	Yes	
row_21	RFC4	53206	-1.1354658603668213	-0.27446076	Yes	
row_22	RFC3	53633	-2.4690070152282715	4.286822E-4	Yes	
