NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFNG	272	1.6532703638076782	0.029278604	Yes	
row_1	PRKCG	327	1.5433038473129272	0.06034461	Yes	
row_2	SH2D1A	405	1.4381450414657593	0.088795364	Yes	
row_3	SH2D1B	452	1.386649489402771	0.116755046	Yes	
row_4	TNFRSF10B	536	1.3209835290908813	0.14265871	Yes	
row_5	NFATC4	544	1.3110932111740112	0.16977672	Yes	
row_6	KLRC3	660	1.194621205329895	0.1924563	Yes	
row_7	FAS	714	1.162737250328064	0.21563159	Yes	
row_8	FCGR3B	791	1.1033200025558472	0.23714226	Yes	
row_9	PPP3CA	943	1.0237767696380615	0.25559857	Yes	
row_10	LAT	968	1.0105516910552979	0.27615273	Yes	
row_11	GZMB	996	0.9959763884544373	0.29634795	Yes	
row_12	TNFRSF10C	1276	0.88703852891922	0.30957097	Yes	
row_13	FYN	1599	0.8013064861297607	0.32020885	Yes	
row_14	LCK	1760	0.7660340666770935	0.33314028	Yes	
row_15	ICAM2	1945	0.7323566675186157	0.34492338	Yes	
row_16	HLA-A	2016	0.7215421199798584	0.35861158	Yes	
row_17	FASLG	2256	0.6809713840484619	0.3682992	Yes	
row_18	PLCG2	2327	0.6687597632408142	0.3808904	Yes	
row_19	SHC2	2380	0.6615842580795288	0.39366874	Yes	
row_20	HLA-C	2401	0.6581213474273682	0.406973	Yes	
row_21	KLRC1	2729	0.616663932800293	0.41368	Yes	
row_22	ZAP70	3024	0.581794261932373	0.42027882	Yes	
row_23	PPP3CC	3030	0.5813177824020386	0.43226707	Yes	
row_24	IFNAR1	3050	0.5791131258010864	0.44394797	Yes	
row_25	SOS2	3053	0.5782589912414551	0.45592868	Yes	
row_26	PIK3CG	3300	0.5536781549453735	0.46283996	Yes	
row_27	CD247	3326	0.5501086115837097	0.47380593	Yes	
row_28	KRAS	3604	0.5185128450393677	0.47940716	Yes	
row_29	HCST	3785	0.5003278255462646	0.4864427	Yes	
row_30	RAET1G	3873	0.49187126755714417	0.49503997	Yes	
row_31	PIK3CD	4180	0.46563902497291565	0.49900052	Yes	
row_32	PRKCB	4269	0.45761287212371826	0.5068671	Yes	
row_33	PIK3R3	4299	0.4552123546600342	0.5157861	Yes	
row_34	PRKCA	4369	0.45005670189857483	0.5238506	Yes	
row_35	TNFRSF10A	4455	0.4438316524028778	0.53148687	Yes	
row_36	RAET1L	4558	0.4364984631538391	0.5386531	Yes	
row_37	IFNGR2	4569	0.4358150362968445	0.54752386	Yes	
row_38	RAC3	4727	0.4249410927295685	0.55342233	Yes	
row_39	KIR3DL1	4745	0.4234200417995453	0.5619048	Yes	
row_40	NCR3	4780	0.4207702577114105	0.57001454	Yes	
row_41	KIR3DL2	4813	0.4191054403781891	0.578127	Yes	
row_42	TNFSF10	5080	0.402306467294693	0.58151865	Yes	
row_43	KIR2DS4	5539	0.3726194500923157	0.5807062	Yes	
row_44	KLRK1	5837	0.3586922883987427	0.58261216	Yes	
row_45	PRF1	6091	0.34589603543281555	0.58507425	Yes	
row_46	ULBP2	6100	0.34535539150238037	0.59210235	Yes	
row_47	NCR1	7154	0.2940763235092163	0.57854116	Yes	
row_48	CASP3	7293	0.2872622013092041	0.5819332	Yes	
row_49	IFNA1	7660	0.2726356089115143	0.5807615	Yes	
row_50	NCR2	7725	0.2716468572616577	0.5852115	Yes	
row_51	NFAT5	7947	0.2662586271762848	0.58661634	Yes	
row_52	SOS1	8082	0.262053519487381	0.58955914	Yes	
row_53	CSF2	8190	0.25993719696998596	0.59296244	Yes	
row_54	PPP3R1	8798	0.2348049432039261	0.58650196	No	
row_55	SHC4	9319	0.2163517028093338	0.58128333	No	
row_56	HLA-B	9724	0.20079286396503448	0.57790864	No	
row_57	IFNA8	9869	0.19958607852458954	0.5793663	No	
row_58	CD244	9906	0.19811350107192993	0.5828112	No	
row_59	PTK2B	9956	0.19649456441402435	0.5859795	No	
row_60	KLRD1	10368	0.18275238573551178	0.5820991	No	
row_61	HLA-E	10738	0.1698588877916336	0.5787353	No	
row_62	PTPN11	10843	0.16585557162761688	0.5802393	No	
row_63	TYROBP	10927	0.16304683685302734	0.58207726	No	
row_64	KIR2DL3	11006	0.16045504808425903	0.5839548	No	
row_65	IFNA16	12436	0.14638099074363708	0.5602993	No	
row_66	PPP3CB	12468	0.14564506709575653	0.56274706	No	
row_67	FCGR3A	14415	0.10386721044778824	0.5285489	No	
row_68	BRAF	14455	0.10249485075473785	0.5299505	No	
row_69	VAV1	15271	0.07915055751800537	0.5163689	No	
row_70	SH3BP2	15303	0.07795868068933487	0.51741004	No	
row_71	SHC1	16024	0.057466406375169754	0.5051527	No	
row_72	NRAS	16515	0.0463414341211319	0.4969612	No	
row_73	KIR2DL4	16737	0.0441756546497345	0.49375042	No	
row_74	ITGB2	17048	0.040010593831539154	0.48879027	No	
row_75	MAP2K1	17086	0.03937907889485359	0.48891744	No	
row_76	KIR2DL1	17482	0.0348668247461319	0.48226237	No	
row_77	NFATC1	17573	0.03275538235902786	0.48126167	No	
row_78	PIK3CA	18132	0.02052183263003826	0.47126314	No	
row_79	CD48	18755	0.003264831146225333	0.45971027	No	
row_80	CHP2	18814	0.0017612549709156156	0.45866325	No	
row_81	ITGAL	18914	0.0	0.45681366	No	
row_82	LCP2	18940	0.0	0.45634657	No	
row_83	IFNA6	19168	0.0	0.45210558	No	
row_84	IFNA21	19359	0.0	0.44855583	No	
row_85	PIK3R5	19396	0.0	0.44788325	No	
row_86	SHC3	19458	0.0	0.4467436	No	
row_87	TNFRSF10D	19875	0.0	0.43897152	No	
row_88	IFNA10	20354	0.0	0.43004113	No	
row_89	IFNA2	20435	0.0	0.4285465	No	
row_90	HLA-G	21609	0.0	0.4066315	No	
row_91	KLRC2	21705	0.0	0.40485662	No	
row_92	IFNA7	22661	0.0	0.3870145	No	
row_93	IFNA13	26609	0.0	0.31327325	No	
row_94	IFNA17	26916	0.0	0.3075563	No	
row_95	IFNA4	27448	0.0	0.2976357	No	
row_96	HRAS	38056	-0.004613312426954508	0.0995625	No	
row_97	IFNAR2	38247	-0.00978630781173706	0.09621616	No	
row_98	IFNGR1	38849	-0.025322120636701584	0.08551403	No	
row_99	PPP3R2	39530	-0.025543546304106712	0.073340565	No	
row_100	PIK3R1	39953	-0.03306416794657707	0.06614358	No	
row_101	MAPK1	39994	-0.034120578318834305	0.0661054	No	
row_102	IFNB1	40214	-0.034490492194890976	0.062730685	No	
row_103	VAV3	42169	-0.06460199505090714	0.027567018	No	
row_104	CHP1	42530	-0.07571998983621597	0.022414897	No	
row_105	FCER1G	42893	-0.08702095597982407	0.017460281	No	
row_106	RAC1	43303	-0.09650156646966934	0.011824608	No	
row_107	PIK3R2	43679	-0.10615162551403046	0.007024713	No	
row_108	RAC2	43779	-0.10953527688980103	0.0074516097	No	
row_109	IFNA5	44052	-0.11750555038452148	0.0048120203	No	
row_110	SYK	44381	-0.12731772661209106	0.0013301197	No	
row_111	MAPK3	45319	-0.1573077291250229	-0.012906352	No	
row_112	ICAM1	46518	-0.20371048152446747	-0.03105465	No	
row_113	MAP2K2	46646	-0.20915661752223969	-0.029080417	No	
row_114	PTPN6	46856	-0.2189280092716217	-0.028435096	No	
row_115	ULBP3	46903	-0.220689594745636	-0.02470786	No	
row_116	IFNA14	47213	-0.2312597781419754	-0.025674531	No	
row_117	NFATC3	47308	-0.2325306236743927	-0.022597976	No	
row_118	PIK3CB	48230	-0.2810291349887848	-0.033964187	No	
row_119	RAET1E	49417	-0.35816559195518494	-0.048678212	No	
row_120	ARAF	49731	-0.38214513659477234	-0.046583727	No	
row_121	PLCG1	49941	-0.3976207375526428	-0.04222459	No	
row_122	BID	49956	-0.3991096019744873	-0.03419135	No	
row_123	ULBP1	50153	-0.41652095317840576	-0.029196529	No	
row_124	MICB	50317	-0.4320640563964844	-0.023262136	No	
row_125	GRB2	50374	-0.4376583993434906	-0.015212409	No	
row_126	RAF1	50524	-0.4514310956001282	-0.008613947	No	
row_127	MICA	50620	-0.4642692506313324	-7.397911E-4	No	
row_128	NFATC2	50916	-0.4962156414985657	0.004061743	No	
row_129	TNF	51513	-0.5771074295043945	0.004920931	No	
row_130	PAK1	52097	-0.6754636764526367	0.008067161	No	
row_131	VAV2	53019	-1.0123865604400635	0.011900937	No	
