NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LPAR6	51	2.7212133407592773	0.030034753	Yes	
row_1	PTGER1	142	2.0480523109436035	0.051672798	Yes	
row_2	LEPR	161	1.9601329565048218	0.07365826	Yes	
row_3	GRIN1	235	1.747385025024414	0.092190646	Yes	
row_4	HTR4	245	1.7034112215042114	0.11142106	Yes	
row_5	S1PR4	386	1.4647163152694702	0.12547931	Yes	
row_6	GABRB3	501	1.345767855644226	0.13866997	Yes	
row_7	GABRB1	502	1.3447648286819458	0.15398458	Yes	
row_8	GIPR	606	1.2502639293670654	0.16629365	Yes	
row_9	NTSR1	621	1.224480390548706	0.17997618	Yes	
row_10	HRH4	674	1.187423586845398	0.19252491	Yes	
row_11	CHRM1	682	1.1826376914978027	0.20586206	Yes	
row_12	P2RX1	893	1.051710605621338	0.21390566	Yes	
row_13	ADRB1	964	1.0140830278396606	0.22414316	Yes	
row_14	S1PR5	983	1.0043654441833496	0.23524404	Yes	
row_15	GRM7	1054	0.9729741811752319	0.24501337	Yes	
row_16	PTGFR	1153	0.9312809109687805	0.2537834	Yes	
row_17	OPRL1	1208	0.9130228161811829	0.2631697	Yes	
row_18	TSHR	1315	0.8749258518218994	0.27114812	Yes	
row_19	GRIA4	1320	0.8737906217575073	0.2810242	Yes	
row_20	PTGIR	1324	0.8732482194900513	0.29091284	Yes	
row_21	GRIN3B	1347	0.8622613549232483	0.30032045	Yes	
row_22	CALCRL	1385	0.8527826070785522	0.30933917	Yes	
row_23	P2RY6	1393	0.8512979745864868	0.31890288	Yes	
row_24	GRIN3A	1401	0.848724365234375	0.32843733	Yes	
row_25	CHRNB4	1708	0.7768797874450684	0.33155283	Yes	
row_26	GABBR2	1942	0.732681393623352	0.3355324	Yes	
row_27	GNRHR	1982	0.7274057865142822	0.34308583	Yes	
row_28	CHRNA6	2063	0.7119244933128357	0.3496949	Yes	
row_29	GLP1R	2170	0.6931636929512024	0.35560337	Yes	
row_30	LPAR3	2239	0.6830874681472778	0.36210883	Yes	
row_31	VIPR2	2332	0.6681126952171326	0.36799422	Yes	
row_32	MC1R	2386	0.6610227823257446	0.3745294	Yes	
row_33	CNR1	2425	0.6539889574050903	0.38126543	Yes	
row_34	ADRB2	2451	0.6502083539962769	0.38820192	Yes	
row_35	UTS2R	2497	0.6440476775169373	0.39469364	Yes	
row_36	P2RY13	2591	0.6346818804740906	0.40017956	Yes	
row_37	DRD4	2609	0.6324300169944763	0.40706345	Yes	
row_38	P2RY10	2623	0.6306555867195129	0.41400206	Yes	
row_39	GRPR	2772	0.611339271068573	0.4181919	Yes	
row_40	NPY2R	2939	0.5916856527328491	0.4218208	Yes	
row_41	FPR2	2973	0.5873581171035767	0.42789167	Yes	
row_42	S1PR3	3012	0.5837312340736389	0.4338276	Yes	
row_43	GLRB	3071	0.5767273902893066	0.43930912	Yes	
row_44	MTNR1A	3080	0.5758625268936157	0.4457174	Yes	
row_45	CYSLTR1	3096	0.5740004181861877	0.45197332	Yes	
row_46	TRPV1	3227	0.560821533203125	0.45592505	Yes	
row_47	GABBR1	3228	0.5606729388237	0.46231017	Yes	
row_48	CRHR2	3290	0.554343581199646	0.4674806	Yes	
row_49	HTR6	3356	0.5466757416725159	0.47248876	Yes	
row_50	GRIN2C	3358	0.5465379357337952	0.47869417	Yes	
row_51	GRIN2A	3386	0.5433958172798157	0.4843768	Yes	
row_52	P2RY1	3396	0.5419512987136841	0.49038014	Yes	
row_53	ADRA1B	3412	0.540716290473938	0.496257	Yes	
row_54	CHRNA10	3422	0.5400620102882385	0.5022388	Yes	
row_55	LTB4R	3423	0.5399852991104126	0.50838834	Yes	
row_56	ADRB3	3432	0.5391631126403809	0.51437867	Yes	
row_57	CYSLTR2	3478	0.5334116816520691	0.5196104	Yes	
row_58	NPY4R	3591	0.5198502540588379	0.52343273	Yes	
row_59	P2RX6	3970	0.4829333424568176	0.521852	Yes	
row_60	LPAR1	4206	0.4632110297679901	0.5227253	Yes	
row_61	BDKRB1	4263	0.45825761556625366	0.5268951	Yes	
row_62	GLRA2	4458	0.44344809651374817	0.5283114	Yes	
row_63	PTH1R	4527	0.4391665458679199	0.532039	Yes	
row_64	RXFP1	4587	0.4351518750190735	0.53588945	Yes	
row_65	GABRA1	4637	0.4319779574871063	0.5398911	Yes	
row_66	NTSR2	4915	0.4123287498950958	0.53939825	Yes	
row_67	HTR7	5256	0.38914331793785095	0.5374612	Yes	
row_68	EDNRB	5332	0.38420048356056213	0.54043174	Yes	
row_69	TBXA2R	5398	0.37977397441864014	0.54353917	Yes	
row_70	GRM1	5752	0.36270371079444885	0.5410576	Yes	
row_71	GZMA	5781	0.36105960607528687	0.54464495	Yes	
row_72	NR3C1	5956	0.35275572538375854	0.54540294	Yes	
row_73	TACR2	6083	0.3465912938117981	0.54698986	Yes	
row_74	MCHR1	6101	0.34525784850120544	0.55060333	Yes	
row_75	CHRM4	6120	0.34412288665771484	0.55418515	Yes	
row_76	NMBR	6137	0.34309661388397217	0.5577928	Yes	
row_77	APLNR	6209	0.34055525064468384	0.5603412	Yes	
row_78	NPFFR2	6316	0.3354428708553314	0.56217575	Yes	
row_79	CHRNE	6446	0.3296786844730377	0.5635139	Yes	
row_80	GLRA3	6698	0.3178459405899048	0.562432	Yes	
row_81	AVPR2	6713	0.3173390328884125	0.56578374	Yes	
row_82	TSHB	6804	0.3120010197162628	0.5676511	Yes	
row_83	ADRA1D	6823	0.311023086309433	0.5708559	Yes	
row_84	LPAR4	7037	0.30004703998565674	0.5702832	Yes	
row_85	CHRNB1	7102	0.29618752002716064	0.57245743	Yes	
row_86	HRH1	7191	0.29218947887420654	0.5741366	Yes	
row_87	HTR1B	7195	0.29200151562690735	0.5774058	Yes	
row_88	PRLHR	7242	0.2899378538131714	0.5798461	Yes	
row_89	GRID2	7297	0.28703805804252625	0.58210343	Yes	
row_90	THRB	7306	0.28649404644966125	0.5852163	Yes	
row_91	CRHR1	7337	0.2853753864765167	0.5879043	Yes	
row_92	ADCYAP1R1	7377	0.28353556990623474	0.5904028	Yes	
row_93	P2RY14	7389	0.2829788625240326	0.5934194	Yes	
row_94	GRIA1	7498	0.27855783700942993	0.59456867	Yes	
row_95	GHSR	7557	0.27708151936531067	0.5966377	Yes	
row_96	C5AR1	7566	0.2767041325569153	0.59963906	Yes	
row_97	CHRNA2	7710	0.2716485857963562	0.6000541	Yes	
row_98	PTGER4	7915	0.26757726073265076	0.5992801	Yes	
row_99	GABRA2	7955	0.2659764885902405	0.6015786	Yes	
row_100	HRH3	8356	0.2527579963207245	0.59696454	Yes	
row_101	MAS1	8391	0.2512689530849457	0.59918916	Yes	
row_102	HTR2A	8394	0.2511730492115021	0.60201216	Yes	
row_103	OPRM1	8608	0.24180974066257477	0.60077614	Yes	
row_104	MC4R	8650	0.24103005230426788	0.6027531	Yes	
row_105	GLP2R	8797	0.23484987020492554	0.60269284	Yes	
row_106	PLG	8936	0.22896195948123932	0.6027154	Yes	
row_107	GABRR2	8954	0.22800536453723907	0.6049935	Yes	
row_108	GCGR	9025	0.22526505589485168	0.6062477	Yes	
row_109	ADORA2B	9050	0.2241712510585785	0.6083511	Yes	
row_110	CGA	9227	0.22021406888961792	0.60756224	Yes	
row_111	NMUR1	9311	0.21675482392311096	0.608476	Yes	
row_112	PRL	9336	0.21587124466896057	0.61048484	Yes	
row_113	NPBWR1	9600	0.20551073551177979	0.6078989	No	
row_114	GHR	9670	0.20305825769901276	0.6089189	No	
row_115	GRIK4	9726	0.2007366567850113	0.6101747	No	
row_116	SSTR3	10072	0.19229912757873535	0.6059023	No	
row_117	GPR83	10253	0.1867813915014267	0.60465777	No	
row_118	P2RY8	10295	0.1851615011692047	0.60599846	No	
row_119	CTSG	10517	0.17789481580257416	0.60388476	No	
row_120	GRM8	10728	0.17016038298606873	0.60188895	No	
row_121	ADORA2A	10851	0.16555646061897278	0.6014891	No	
row_122	TRHR	10989	0.16092798113822937	0.60075563	No	
row_123	KISS1R	11054	0.15861931443214417	0.6013632	No	
row_124	GPR156	11071	0.1578357219696045	0.602861	No	
row_125	P2RY2	11137	0.15573245286941528	0.603417	No	
row_126	P2RX7	11184	0.1541859209537506	0.6043112	No	
row_127	LHCGR	11717	0.14638398587703705	0.5960131	No	
row_128	MTNR1B	12438	0.14638099074363708	0.58419347	No	
row_129	GABRA5	12445	0.1462826281785965	0.585747	No	
row_130	FSHR	12631	0.14236757159233093	0.583903	No	
row_131	GABRG1	13184	0.142364963889122	0.5751845	No	
row_132	HTR5A	13186	0.142364963889122	0.5767871	No	
row_133	BDKRB2	13336	0.13840855658054352	0.5755724	No	
row_134	F2RL3	13402	0.13616061210632324	0.57590544	No	
row_135	P2RX4	13611	0.12878119945526123	0.5734759	No	
row_136	AVPR1A	13631	0.12788762152194977	0.57457644	No	
row_137	HTR1E	13736	0.12523962557315826	0.5740546	No	
row_138	GRM2	13753	0.12479592859745026	0.5751761	No	
row_139	PTAFR	13772	0.12407475709915161	0.576252	No	
row_140	GRIA2	14219	0.10971135646104813	0.5691471	No	
row_141	CHRM5	14296	0.10774841904640198	0.5689506	No	
row_142	P2RY4	14439	0.1031656339764595	0.5674656	No	
row_143	SCTR	14863	0.09010953456163406	0.5605684	No	
row_144	ADRA2B	15001	0.08728928864002228	0.55899626	No	
row_145	DRD1	15020	0.08664428442716599	0.55964583	No	
row_146	HCRTR1	15077	0.08471016585826874	0.55956155	No	
row_147	TSPO	15113	0.08347335457801819	0.5598566	No	
row_148	C3AR1	15332	0.07715973258018494	0.55665183	No	
row_149	GABRG3	15531	0.07132219523191452	0.5537552	No	
row_150	GABRQ	15655	0.06775247305631638	0.55222285	No	
row_151	MC5R	15782	0.064505435526371	0.5505973	No	
row_152	GRIN2D	16716	0.04457864165306091	0.53362846	No	
row_153	SSTR1	16725	0.044372428208589554	0.53398395	No	
row_154	MLNR	16909	0.04140092805027962	0.53102756	No	
row_155	MC2R	16938	0.041400302201509476	0.53097457	No	
row_156	CHRNA9	17170	0.03770609572529793	0.527077	No	
row_157	PTGDR	17206	0.036969274282455444	0.5268424	No	
row_158	HTR1F	17225	0.03654167056083679	0.5269214	No	
row_159	NPY5R	17773	0.03084271401166916	0.51702654	No	
row_160	LTB4R2	17855	0.027936307713389397	0.5158274	No	
row_161	EDNRA	17894	0.026964284479618073	0.5154227	No	
row_162	SSTR2	18068	0.022379480302333832	0.512437	No	
row_163	P2RX3	18326	0.014967433176934719	0.5077935	No	
row_164	AGTR2	18512	0.010313144885003567	0.5044456	No	
row_165	LHB	18632	0.00694445613771677	0.5022956	No	
row_166	P2RX2	18665	0.005948612466454506	0.50176394	No	
row_167	GRIK2	18777	0.0028718034736812115	0.49971747	No	
row_168	GABRA3	18924	0.0	0.49698266	No	
row_169	PTGER3	18944	0.0	0.49662676	No	
row_170	CHRNA3	18987	0.0	0.49584004	No	
row_171	GABRP	19003	0.0	0.49555907	No	
row_172	GRIK5	19068	0.0	0.49436027	No	
row_173	GHRHR	19073	0.0	0.49428535	No	
row_174	GABRA4	19102	0.0	0.49376085	No	
row_175	GABRG2	19128	0.0	0.49329257	No	
row_176	TACR1	19132	0.0	0.49323636	No	
row_177	OPRD1	19143	0.0	0.49304906	No	
row_178	GRM4	19209	0.0	0.4918315	No	
row_179	PTGER2	19221	0.0	0.49162546	No	
row_180	NPBWR2	19223	0.0	0.49160674	No	
row_181	FSHB	19295	0.0	0.49027678	No	
row_182	SSTR4	19305	0.0	0.49010822	No	
row_183	TAAR5	19337	0.0	0.48952752	No	
row_184	CHRND	19338	0.0	0.48952752	No	
row_185	HTR2B	19340	0.0	0.4895088	No	
row_186	GH2	19349	0.0	0.48935896	No	
row_187	CSH1	19350	0.0	0.48935896	No	
row_188	AGTR1	19427	0.0	0.48793536	No	
row_189	GABRA6	19436	0.0	0.48778552	No	
row_190	GABRB2	19437	0.0	0.48778552	No	
row_191	GABRR1	19441	0.0	0.4877293	No	
row_192	TAAR2	19444	0.0	0.48769185	No	
row_193	TAAR8	19445	0.0	0.48769185	No	
row_194	HTR2C	19449	0.0	0.48763564	No	
row_195	CCKAR	19594	0.0	0.48493832	No	
row_196	GRIK3	19609	0.0	0.48467606	No	
row_197	GALR1	19664	0.0	0.48366457	No	
row_198	DRD5	19740	0.0	0.48225972	No	
row_199	TACR3	19751	0.0	0.48207238	No	
row_200	S1PR1	19780	0.0	0.48154792	No	
row_201	FPR1	19782	0.0	0.48152918	No	
row_202	GRIK1	19788	0.0	0.48143554	No	
row_203	HTR1A	20028	0.0	0.4769587	No	
row_204	CHRM2	20107	0.0	0.47549763	No	
row_205	GALR2	20178	0.0	0.47418645	No	
row_206	CNR2	20457	0.0	0.4689791	No	
row_207	CHRNG	20527	0.0	0.4676866	No	
row_208	PRSS1	21651	0.0	0.44665113	No	
row_209	TAAR9	27585	0.0	0.33551714	No	
row_210	GH1	32818	0.0	0.23751391	No	
row_211	PRSS2	36442	0.0	0.16964968	No	
row_212	ADRA1A	37926	-0.0010899336775764823	0.14188327	No	
row_213	HRH2	38437	-0.014307822100818157	0.13249315	No	
row_214	GRIA3	38698	-0.020829247310757637	0.12786017	No	
row_215	GRM3	38856	-0.025456521660089493	0.12520923	No	
row_216	RXFP2	39287	-0.02554296888411045	0.11744558	No	
row_217	GLRA1	39987	-0.033985499292612076	0.10473929	No	
row_218	BRS3	40215	-0.034490492194890976	0.100880034	No	
row_219	DRD3	40531	-0.0344916470348835	0.095372416	No	
row_220	GABRD	41107	-0.03739464282989502	0.085027665	No	
row_221	MCHR2	41293	-0.04113001003861427	0.082030736	No	
row_222	LPAR2	41542	-0.04784843698143959	0.077930234	No	
row_223	P2RY11	41567	-0.04834012687206268	0.0780312	No	
row_224	GALR3	41576	-0.04855690151453018	0.078434326	No	
row_225	PTH2R	41679	-0.05162396654486656	0.077111624	No	
row_226	VIPR1	41692	-0.05192697420716286	0.07747821	No	
row_227	PRSS3	42108	-0.06320468336343765	0.07042443	No	
row_228	GPR50	42152	-0.0643918365240097	0.070352286	No	
row_229	GRIN2B	42613	-0.0783829391002655	0.06262845	No	
row_230	GRM6	42866	-0.08631882816553116	0.058891136	No	
row_231	TAAR6	43082	-0.0899963229894638	0.05588877	No	
row_232	HCRTR2	43125	-0.08999698609113693	0.05612696	No	
row_233	NMUR2	43355	-0.09856756031513214	0.052959967	No	
row_234	ADRA2C	43918	-0.11469832062721252	0.043739084	No	
row_235	MC3R	43998	-0.11750331521034241	0.04359746	No	
row_236	ADRA2A	44144	-0.11943644285202026	0.042241573	No	
row_237	CALCR	44380	-0.1272500902414322	0.039288837	No	
row_238	F2R	44559	-0.13332132995128632	0.037472937	No	
row_239	NPY1R	44738	-0.1388527899980545	0.035720028	No	
row_240	TAAR1	44769	-0.1400492787361145	0.03675301	No	
row_241	CHRNA4	44881	-0.1428166925907135	0.036300257	No	
row_242	FPR3	45209	-0.15226227045059204	0.031909067	No	
row_243	OPRK1	45306	-0.15671078860759735	0.03189552	No	
row_244	S1PR2	45726	-0.17133352160453796	0.025998218	No	
row_245	F2	45845	-0.1754465103149414	0.025785943	No	
row_246	GRM5	45875	-0.17653852701187134	0.027253209	No	
row_247	AVPR1B	46732	-0.21333390474319458	0.0136485575	No	
row_248	GRID1	46908	-0.2209804356098175	0.012887142	No	
row_249	LEP	46952	-0.22298277914524078	0.014621087	No	
row_250	SSTR5	47084	-0.22855913639068604	0.014770166	No	
row_251	CHRNA7	47716	-0.2547335922718048	0.005851577	No	
row_252	NPFFR1	47787	-0.2585195004940033	0.0074844756	No	
row_253	CCKBR	48153	-0.27709853649139404	0.0038031654	No	
row_254	CHRNB3	48364	-0.2881993353366852	0.0031516573	No	
row_255	CHRNB2	48779	-0.3148091733455658	-0.0010180356	No	
row_256	F2RL2	48890	-0.32155466079711914	5.834678E-4	No	
row_257	THRA	49486	-0.36288008093833923	-0.00642918	No	
row_258	CHRNA5	49553	-0.36767005920410156	-0.0034783133	No	
row_259	ADORA1	49736	-0.3829386532306671	-0.0025264174	No	
row_260	PARD3	49894	-0.39313021302223206	-9.901688E-4	No	
row_261	F2RL1	50319	-0.43223217129707336	-0.0040099258	No	
row_262	CHRNA1	50338	-0.43387570977211	5.940242E-4	No	
row_263	GABRE	50819	-0.48482877016067505	-0.0028757097	No	
row_264	OXTR	51127	-0.5230909585952759	-0.0026691514	No	
row_265	GPR35	51191	-0.5315411686897278	0.002204127	No	
row_266	CHRM3	51260	-0.5392445921897888	0.007071477	No	
row_267	PRLR	51609	-0.5900277495384216	0.0072723418	No	
row_268	DRD2	52643	-0.8377240300178528	-0.0025370268	No	
row_269	P2RX5	52715	-0.8637301921844482	0.0059694755	No	
row_270	HTR1D	53034	-1.0219242572784424	0.011650862	No	
