NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA2	1463	0.8306189775466919	-0.00811396	No	
row_1	MAGOHB	3384	0.5435464978218079	-0.03140666	No	
row_2	SRSF5	3572	0.5217525362968445	-0.022829197	No	
row_3	TXNL4A	4226	0.4615691304206848	-0.024349486	No	
row_4	HSPA1L	4696	0.42674311995506287	-0.023238154	No	
row_5	HSPA1A	4801	0.41969165205955505	-0.015471353	No	
row_6	SRSF9	7397	0.2825348675251007	-0.057412352	No	
row_7	SNRNP27	9312	0.216728076338768	-0.088153966	No	
row_8	RBM17	10462	0.18024942278862	-0.10544846	No	
row_9	SNRPF	11250	0.1516859382390976	-0.11664122	No	
row_10	RBM25	11378	0.14873987436294556	-0.1155726	No	
row_11	SMNDC1	13318	0.13894285261631012	-0.14858082	No	
row_12	BCAS2	13499	0.13263075053691864	-0.14887498	No	
row_13	U2AF1	13679	0.1266622692346573	-0.14928855	No	
row_14	SYF2	14397	0.10436750203371048	-0.16026835	No	
row_15	WBP11	15677	0.06728057563304901	-0.18260494	No	
row_16	SNW1	15732	0.06579428166151047	-0.18209156	No	
row_17	HSPA6	15884	0.06124260276556015	-0.18349555	No	
row_18	TCERG1	16227	0.05239659547805786	-0.18867229	No	
row_19	SRSF8	16241	0.052091848105192184	-0.18770999	No	
row_20	RBM8A	17730	0.032189078629016876	-0.21476279	No	
row_21	LSM6	17947	0.02559288777410984	-0.21820581	No	
row_22	PRPF18	17987	0.024546843022108078	-0.21836647	No	
row_23	PRPF8	18194	0.018671097233891487	-0.22178283	No	
row_24	TRA2A	18441	0.01227189414203167	-0.22609447	No	
row_25	SLU7	37987	-0.002565196715295315	-0.5911575	No	
row_26	LSM5	38000	-0.0029586968012154102	-0.59131324	No	
row_27	PCBP1	38189	-0.007937520742416382	-0.5946416	No	
row_28	HNRNPA1	38402	-0.014095716178417206	-0.5982759	No	
row_29	SNRNP70	38510	-0.016120636835694313	-0.59990185	No	
row_30	DDX5	38799	-0.024050273001194	-0.6047256	No	
row_31	HNRNPA1P60	40138	-0.034490104764699936	-0.628923	No	
row_32	PRPF40B	41241	-0.04045865312218666	-0.6485736	No	
row_33	DDX39B	41305	-0.041515547782182693	-0.64879	No	
row_34	CDC5L	41549	-0.0480184443295002	-0.6522186	No	
row_35	SRSF10	41742	-0.05334843695163727	-0.6545712	No	
row_36	PRPF40A	42347	-0.0695243701338768	-0.6642461	No	
row_37	LSM3	42392	-0.07121143490076065	-0.66342056	No	
