NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	264	0.62344927	1.7910789	0.0	0.001929134	0.002	9902	tags=53%, list=18%, signal=65%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	271	0.61048484	1.7448629	0.0	0.006390943	0.013	9336	tags=42%, list=17%, signal=50%	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE	Details ...	50	0.67448306	1.6158247	0.0	0.0761914	0.202	9869	tags=50%, list=18%, signal=61%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Details ...	132	0.59296244	1.6127322	0.0	0.059411064	0.208	8190	tags=41%, list=15%, signal=48%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	Details ...	69	0.64656985	1.604351	0.0014306152	0.054663703	0.234	4263	tags=35%, list=8%, signal=38%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY		155	0.57162946	1.5784302	0.0	0.07443468	0.351	10504	tags=50%, list=20%, signal=62%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM		51	0.64708215	1.5456926	0.004511278	0.10276844	0.522	7350	tags=31%, list=14%, signal=36%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM		83	0.59521747	1.5207963	0.0057471264	0.1251583	0.638	10028	tags=51%, list=19%, signal=62%	
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION		35	0.66957915	1.4923878	0.021875	0.16148186	0.764	8667	tags=57%, list=16%, signal=68%	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION		42	0.64113206	1.4885752	0.023183925	0.15303868	0.779	4816	tags=36%, list=9%, signal=39%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE		37	0.6558819	1.4720435	0.017828202	0.1689847	0.844	11006	tags=62%, list=21%, signal=78%	
KEGG_GLIOMA	KEGG_GLIOMA		65	0.58629006	1.456976	0.008810572	0.18404825	0.895	4369	tags=31%, list=8%, signal=33%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS		131	0.5371098	1.4524138	0.0053908355	0.17782593	0.905	8667	tags=41%, list=16%, signal=49%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		74	0.57195824	1.4246413	0.01627219	0.22770657	0.961	9871	tags=50%, list=18%, signal=61%	
