Gene	TCGA-AA-3850	TCGA-AA-3845	TCGA-AA-3852	TCGA-G4-6302	TCGA-AA-3492	TCGA-G4-6314	TCGA-G4-6311	TCGA-A6-2672	TCGA-DM-A1HA	TCGA-DM-A1HB
TSPAN6	2447	2053	1454	1822	2356	8201	5085	747	2519	2463
TNMD	9	3	3	2	4	36	2	3	1	0
DPM1	490	876	392	1012	317	2264	2981	265	3555	2408
SCYL3	255	299	246	468	301	707	658	527	818	776
C1orf112	164	221	147	187	396	575	845	249	386	430
FGR	159	152	137	534	115	323	459	340	71	164
CFH	477	797	252	4925	383	2076	1109	491	219	399
FUCA2	1726	2263	1953	2684	3172	3383	4538	1438	7707	7311
GCLC	738	1338	662	1865	1139	2355	2786	586	6517	2764
NFYA	422	833	360	766	636	2032	2339	613	2847	1760
STPG1	241	408	167	448	282	295	386	262	965	488
NIPAL3	1164	534	646	2535	1139	1571	1930	935	1887	2241
LAS1L	473	585	815	1453	1138	3459	3651	597	3575	2770
ENPP4	405	1627	305	1245	517	1674	1397	306	1541	1725
SEMA3F	2289	280	1503	2816	1944	2045	497	417	934	1282
CFTR	3009	928	2891	1228	2810	5145	9715	630	166	3492
ANKIB1	612	1311	866	1772	407	3583	2437	1671	2501	2118
CYP51A1	162	77	255	467	251	717	688	104	246	581
KRIT1	412	688	419	907	377	1659	1557	592	2787	1289
RAD52	123	234	163	213	180	577	323	429	564	406
MYH16	6	51	12	4	0	16	26	23	183	15
BAD	761	679	587	1097	1597	1637	887	215	681	1046
LAP3	1685	4239	1574	5451	5544	4402	3921	3768	6835	5200
CD99	2324	1829	3533	10344	4199	18555	4630	1279	9168	12766
HS3ST1	152	552	253	1106	617	760	469	277	966	1485
AOC1	4997	2861	6126	3210	5019	3961	10431	1333	10367	10700
WNT16	0	3	0	54	0	20	3	2	11	0
HECW1	21	11	42	48	19	93	104	140	22	11
MAD1L1	304	413	745	973	533	1315	1021	704	2845	2117
LASP1	6203	13486	5648	11356	7201	21147	17512	6271	24072	23901
SNX11	564	543	529	917	1021	1752	1017	428	1306	1360
TMEM176A	4804	1396	9426	2792	1229	4886	5476	228	17475	1679
M6PR	1083	1540	1772	2233	1979	3353	3061	1516	5046	3024
KLHL13	19	18	55	488	7	1858	94	6	5	75
CYP26B1	140	66	46	121	41	305	248	109	60	110
ICA1	933	786	1624	1305	1511	2652	1684	770	5125	3840
DBNDD1	345	734	248	708	512	490	1472	272	1641	316
ALS2	166	568	385	1023	468	864	836	910	1892	1465
CASP10	1241	591	568	1752	1775	629	1316	2582	743	2441
CFLAR	1628	1908	1016	4192	1106	3580	4395	6482	8677	4832
TFPI	346	4108	180	2131	159	999	706	314	3539	2169
NDUFAF7	228	240	140	456	143	507	452	322	976	671
RBM5	1106	1434	946	1975	1545	4447	2414	3695	2289	2811
MTMR7	14	33	10	77	13	30	12	160	30	42
SLC7A2	48	22	197	1414	16	155	93	134	18	811
ARF5	2371	2090	4662	4258	5090	7907	6030	723	12997	7004
SARM1	82	42	127	490	143	456	367	417	100	265
POLDIP2	2678	1509	2768	4288	4580	7181	6698	1477	7446	7780
PLXND1	1710	3660	1597	7146	1172	5209	2841	2479	10073	9884
AK2	3067	2482	2062	3878	4738	3911	4771	2602	7136	9903
CD38	387	187	82	228	37	92	137	196	39	6
FKBP4	2665	3215	5432	6074	6902	10039	6747	2771	16641	14670
KDM1A	2081	2327	2649	3327	3149	4685	4289	2353	6719	5877
RBM6	1088	969	776	2196	619	4938	2549	3078	3872	3072
CAMKK1	151	88	344	830	279	579	399	413	307	1051
RECQL	307	583	317	1063	361	1253	800	395	760	788
VPS50	344	512	411	723	545	1241	1138	334	1189	802
HSPB6	95	16	34	9520	37	3096	242	10	30	48
ARHGAP33	229	159	116	113	127	657	515	218	279	268
NDUFAB1	1427	1353	1315	2010	2065	2413	2840	444	3410	5577
PDK4	146	379	59	2895	41	1010	1935	94	237	242
SLC22A16	1	3	0	5	0	5	3	8	1	1
ZMYND10	6	91	10	15	10	17	13	75	11	13
ABCB5	1	0	0	17	1	20	8	2	0	0
ARX	4	2	18	7	12	1	2	19	0	98
SLC25A13	808	799	901	920	691	2505	2189	675	1968	1969
ST7	386	673	570	959	815	1799	1189	776	1990	1392
CDC27	811	2141	647	2458	811	2582	2643	1274	2962	4308
SLC4A1	0	0	2	1	0	2	0	5	0	1
CALCR	0	0	4	3	5	2	3	0	0	0
HCCS	695	686	461	1086	1057	1212	1444	298	1289	1741
DVL2	478	687	777	1184	904	1952	774	464	1784	1317
PRSS22	166	1631	216	442	301	517	642	521	2353	2557
UPF1	2151	2882	2939	5299	2109	9275	8574	2600	12083	9422
SKAP2	639	1249	608	1851	869	2396	2564	504	4169	2096
SLC25A5	15884	7582	15451	11283	33948	24187	22641	4286	14529	37762
MCUB	270	818	217	724	566	391	411	308	372	757
HOXA11	235	90	330	782	108	1183	266	163	170	1271
POLR2J	445	517	959	839	675	2138	2024	185	4934	2060
DHX33	463	385	743	961	474	1588	932	857	1228	2124
MEOX1	66	68	31	477	62	217	61	43	2	28
