Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_SPLICEOSOME,-0.6884710107097272,-2.0397810272741173,0.0,0.0,0.0,72/127,13.47%,PRPF3;SF3B3;DHX8;SNRNP200;CTNNBL1;EFTUD2;NCBP2;SNRPB;ISY1;PRPF6;USP39;HNRNPA1L2;HSPA8;THOC2;EIF4A3;SRSF6;PPIH;ACIN1;DHX38;SNRPB2;DHX16;SNRNP40;SNRPC;CCDC12;PRPF19;SNRPE;CHERP;SRSF7;PQBP1;PRPF31;SF3B2;ALYREF;U2SURP;THOC1;U2AF2;XAB2;PLRG1;LSM7;SNRPD3;NCBP1;CRNKL1;SF3B1;PUF60;SNRPD2;THOC3;HSPA1B;PPIL1;LSM4;TRA2B;DDX23;PPIE;SF3A3;SNU13;PRPF38A;CWC15;LSM8;SART1;PHF5A;HNRNPM;AQR;PRPF38B;SNRPA1;PRPF4;MAGOH;DDX42;HNRNPC;SRSF4;SF3B5;BUD31;HNRNPU;DHX15;SNRPA
prerank,KEGG_DNA_REPLICATION,-0.8322789228139792,-2.0111844405472517,0.0,0.0,0.0,23/36,9.95%,RFC3;MCM2;POLA1;MCM3;RFC4;RNASEH2B;PCNA;PRIM2;MCM7;FEN1;RNASEH2A;POLA2;MCM6;MCM5;LIG1;POLE2;RFC1;POLE;RFC2;POLE3;POLD1;POLD2;DNA2
prerank,KEGG_HOMOLOGOUS_RECOMBINATION,-0.779301124598688,-1.8188539917015534,0.0,0.005759514004497796,0.017,20/28,16.33%,RAD51D;RAD54L;BRCA2;RAD51C;XRCC2;MRE11;RAD51;EME1;RAD50;TOP3B;POLD1;SEM1;POLD2;RAD51B;BLM;RPA3;MUS81;RAD54B;RPA1;RAD52
prerank,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.6234493811191586,1.7945377226982095,0.0,0.0009921385630806744,0.001,141/264,18.46%,IFNE;TNFRSF17;LEPR;TNFRSF18;IFNG;EGF;TGFB3;CCL13;CD27;CCR10;IL18;CCL24;TNFRSF10B;FAS;BMPR1B;IL10;IL5RA;CXCL1;CXCL5;CRLF2;TNFRSF10C;CXCL12;TNFRSF19;CXCL2;KIT;CXCR1;IL6ST;AMHR2;CCL17;TGFB2;CXCR2;CCL22;IL11;IL20RB;TNFRSF8;CSF3R;IL19;CCL28;KITLG;CCL11;CXCL9;FASLG;PF4;EPOR;CSF2RB;IL2RB;TNFSF9;CCR3;TPO;CSF3;LIF;IL1R1;TNFRSF1A;FLT3;CNTF;IFNAR1;IL10RA;IL26;IL15RA;ACVRL1;TNFSF13B;PF4V1;AMH;CCL14;TNFRSF11A;CCL5;IL17A;IL6R;TNFSF12;XCR1;IL1R2;OSMR;MPL;CXCL3;CCL2;TNFRSF4;TNFRSF10A;TNFSF15;IL22RA2;CLCF1;IFNGR2;CXCL13;CD70;IL12B;CXCL6;TNFSF10;CCR5;TNFSF14;IL23R;IL20;IL12A;CCR7;IL20RA;IL3RA;IL15;TNFSF8;CD40LG;IL18RAP;CXCL8;IL17B;IL2RA;CTF1;VEGFB;TNFRSF11B;TNFSF13;NGFR;CD40;TNFRSF21;IL7R;IFNA1;TGFBR2;LTBR;CCR1;CSF2;LIFR;TSLP;PDGFRA;IL22;OSM;TGFB1;BMPR2;ACVR1;CCL8;IL24;CX3CR1;CCR8;CSF1R;INHBE;KDR;PRL;IL1A;TNFRSF13B;TNFRSF9;EGFR;BMPR1A;CCL7;GHR;HGF;IFNL2;IFNA8;IL7
prerank,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.6104849768396573,1.7526049644319217,0.0,0.00347248497078236,0.006,113/271,17.40%,LPAR6;PTGER1;LEPR;GRIN1;HTR4;S1PR4;GABRB3;GABRB1;GIPR;NTSR1;HRH4;CHRM1;P2RX1;ADRB1;S1PR5;GRM7;PTGFR;OPRL1;TSHR;GRIA4;PTGIR;GRIN3B;CALCRL;P2RY6;GRIN3A;CHRNB4;GABBR2;GNRHR;CHRNA6;GLP1R;LPAR3;VIPR2;MC1R;CNR1;ADRB2;UTS2R;P2RY13;DRD4;P2RY10;GRPR;NPY2R;FPR2;S1PR3;GLRB;MTNR1A;CYSLTR1;TRPV1;GABBR1;CRHR2;HTR6;GRIN2C;GRIN2A;P2RY1;ADRA1B;CHRNA10;LTB4R;ADRB3;CYSLTR2;NPY4R;P2RX6;LPAR1;BDKRB1;GLRA2;PTH1R;RXFP1;GABRA1;NTSR2;HTR7;EDNRB;TBXA2R;GRM1;GZMA;NR3C1;TACR2;MCHR1;CHRM4;NMBR;APLNR;NPFFR2;CHRNE;GLRA3;AVPR2;TSHB;ADRA1D;LPAR4;CHRNB1;HRH1;HTR1B;PRLHR;GRID2;THRB;CRHR1;ADCYAP1R1;P2RY14;GRIA1;GHSR;C5AR1;CHRNA2;PTGER4;GABRA2;HRH3;MAS1;HTR2A;OPRM1;MC4R;GLP2R;PLG;GABRR2;GCGR;ADORA2B;CGA;NMUR1;PRL
prerank,KEGG_NUCLEOTIDE_EXCISION_REPAIR,-0.6651128509995998,-1.6765996747261704,0.006024096385542169,0.04116358538508718,0.146,26/44,15.93%,RFC3;RFC4;GTF2H2;PCNA;GTF2H1;DDB1;ERCC2;LIG1;POLE2;GTF2H4;CUL4A;XPC;ERCC3;RFC1;POLE;RFC2;POLE3;POLD1;POLD2;ERCC8;RAD23A;RBX1;RPA3;POLE4;RPA1;ERCC5
prerank,KEGG_MISMATCH_REPAIR,-0.7551349147396997,-1.6671993401622007,0.005050505050505051,0.03618329974590379,0.16,10/23,9.55%,RFC3;RFC4;PCNA;LIG1;MSH2;RFC1;PMS2;RFC2;POLD1;POLD2
prerank,KEGG_BASE_EXCISION_REPAIR,-0.6787051596824991,-1.650586386017659,0.008064516129032258,0.036759251146353575,0.188,19/35,10.91%,LIG3;PARP4;PCNA;OGG1;FEN1;PARP1;PARP2;HMGB1;LIG1;POLE2;HMGB1P40;POLE;POLE3;HMGB1P1;POLD1;POLD2;NEIL3;XRCC1;POLL
prerank,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.5929624660268388,1.6057145595695628,0.0,0.101528846288589,0.243,54/132,15.27%,IFNG;PRKCG;SH2D1A;SH2D1B;TNFRSF10B;NFATC4;KLRC3;FAS;FCGR3B;PPP3CA;LAT;GZMB;TNFRSF10C;FYN;LCK;ICAM2;HLA-A;FASLG;PLCG2;SHC2;HLA-C;KLRC1;ZAP70;PPP3CC;IFNAR1;SOS2;PIK3CG;CD247;KRAS;HCST;RAET1G;PIK3CD;PRKCB;PIK3R3;PRKCA;TNFRSF10A;RAET1L;IFNGR2;RAC3;KIR3DL1;NCR3;KIR3DL2;TNFSF10;KIR2DS4;KLRK1;PRF1;ULBP2;NCR1;CASP3;IFNA1;NCR2;NFAT5;SOS1;CSF2
prerank,KEGG_AUTOIMMUNE_THYROID_DISEASE,0.6744457202964398,1.6044261506119861,0.004615384615384616,0.07788287720183293,0.246,25/50,18.40%,FAS;GZMB;IL10;TSHR;CTLA4;CD28;HLA-A;FASLG;HLA-C;TPO;HLA-DOB;HLA-DOA;HLA-DQA1;CD40LG;PRF1;TSHB;CD40;HLA-DPB1;IFNA1;HLA-DMB;HLA-DRA;HLA-DPA1;CGA;HLA-B;IFNA8
