NAME	TITLE	SCORE	
LINC01444		7.101827	
MUC5AC		6.8229074	
FOXJ1		6.535684	
LRRC26		6.1285744	
MT-TF		5.3361235	
AC103563.3		5.1452484	
SLC36A4		4.823043	
HLA-U		4.3071465	
F5		4.07127	
IFNE		3.966705	
WFDC2		3.8952997	
MT-TM		3.753696	
TBX4		3.6990964	
ABCA12		3.6941252	
GPER1		3.6320212	
KLK7		3.6267383	
FSTL4		3.5431297	
MAST1		3.5398924	
PAEP		3.506784	
BEST3		3.4161928	
POU6F2		3.3837037	
KCNV1		3.348316	
ST3GAL4		3.31613	
ITGA10		3.2348452	
WNT7B		3.2169383	
AC134879.2		3.1879914	
WFDC3		3.153152	
AC022182.2		3.138225	
AL391121.1		3.1239219	
LY6D		3.0984726	
MIR31HG		3.049672	
HBB		3.0360937	
GCG		3.0197551	
AC011523.1		3.0025141	
MTRNR2L1		2.9954574	
STRA6		2.9928393	
LEFTY2		2.9807968	
MT-TL1		2.9525943	
JCHAIN		2.894135	
NPW		2.8921025	
DUOXA2		2.8774164	
ALPK3		2.855757	
MORN3		2.8511856	
TNFAIP8		2.8444307	
IFNWP19		2.7954845	
MMRN1		2.791239	
AC078923.1		2.7860804	
AC004540.2		2.7592485	
MT-TC		2.7484498	
CCDC60		2.743302	
DUOX2		2.73675	
LPAR6		2.7212133	
KLF2		2.704928	
UPK3B		2.6869736	
TFAP2A		2.6844034	
TCP11		2.614419	
ENKUR		2.605037	
ALDH1A2		2.5736203	
DUSP4		2.5652084	
DGKB		2.5197716	
SEMG1		2.5171194	
LINC01465		2.5126758	
IQCD		2.5060241	
SLC4A8		2.4947345	
RAB38		2.4931855	
LINC02300		2.491911	
KLC3		2.476076	
AC061992.1		2.4524693	
PLIN5		2.4429772	
AC097478.1		2.4358025	
CBFA2T3		2.4304004	
AC004870.2		2.4274237	
SH2D6		2.4271395	
IL17RD		2.4237878	
AC246793.1		2.4150305	
AGAP14P		2.4147384	
UST		2.4024444	
CD109		2.400619	
FUT8-AS1		2.394744	
DBET		2.391759	
MAP2		2.3597064	
KCTD9		2.35756	
AC011297.1		2.3486307	
ACTBP13		2.3413637	
MT-TP		2.3353767	
FAM81B		2.334079	
CFD		2.320714	
EPHA4		2.3149362	
TXNP5		2.311197	
CLCA1		2.3087306	
CFAP57		2.307502	
SYT17		2.3043647	
AL158206.1		2.297783	
CTXN1		2.2873642	
OCA2		2.2783926	
TNFRSF17		2.2657776	
SAA2		2.255737	
B3GALT5-AS1		2.2526093	
TPT1P12		2.2514088	
FKBP11		2.23378	
AC136428.1		2.2294204	
B3GNT6		2.2153182	
SNORD59A		2.2139137	
PRDM8		2.1875517	
HAS1		2.1869903	
SPEF1		2.1809597	
REP15		2.17378	
IRX2		2.1732578	
BAG2		2.1702693	
MAGIX		2.1643274	
DAPL1		2.1639693	
STAB2		2.1506262	
SPTSSB		2.1486444	
PRKXP1		2.1470797	
CAV2		2.130271	
AVIL		2.1274471	
SLITRK6		2.1271787	
AL606491.1		2.1241105	
AC009509.1		2.1218755	
SLC16A11		2.12158	
ENPP3		2.1189282	
SDR16C5		2.1168115	
AC005696.4		2.1147048	
AC090922.1		2.1052597	
BHLHA15		2.096385	
FGF9		2.0940769	
LINC01833		2.0902762	
MT-ND5		2.0882945	
CCDC110		2.0849242	
AL512488.1		2.0816271	
METTL7A		2.0793788	
SPTLC3		2.077939	
SHF		2.0756454	
ZFP57		2.0743716	
AC022075.1		2.0743504	
INSL5		2.0732973	
VSTM1		2.0726435	
AC020763.4		2.0596077	
FOXO6		2.0577757	
RAPGEF3		2.057171	
HMGN2P5		2.0524373	
IGFN1		2.050724	
PTGER1		2.0480523	
BMX		2.0443037	
EMB		2.0393295	
LINC00884		2.034372	
DUOXA1		2.0337462	
BEST2		2.0337424	
TRAPPC5		2.0303173	
RAB3B		2.018014	
GALNTL6		2.017896	
TCAF2		2.0177062	
SLC2A10		2.0153396	
LINC00920		2.0122783	
LCN2		2.0087848	
C5orf38		2.0038717	
CITED4		1.992985	
KLK14		1.9821161	
KIAA0087		1.9786584	
NR5A1		1.966155	
LINC02362		1.9611559	
LEPR		1.960133	
WDR38		1.9575523	
TGM2		1.9566044	
POU6F2-AS2		1.934863	
AC010501.1		1.9336851	
PRRT1		1.931952	
PIM2		1.926444	
LINC01770		1.9247211	
CR381670.1		1.9226602	
RND1		1.9178191	
ERO1B		1.9067537	
TFPI		1.9066384	
TMTC2		1.9056202	
SLC7A11		1.9022937	
AC005520.2		1.9008584	
EFNA5		1.9006113	
GSR		1.9005377	
CADPS2		1.8987069	
RETNLB		1.8984702	
AANAT		1.892243	
TFPI2		1.8908216	
PLD2		1.8776345	
TAS1R1		1.8736936	
SPRR1A		1.8681854	
BMS1P8		1.8643913	
RASGEF1A		1.8542944	
ROPN1L		1.8483135	
EP400P1		1.8471949	
CCDC68		1.8441855	
TNIP3		1.8438507	
C11orf53		1.8433218	
ENTPD3		1.8423073	
AC092384.1		1.8393325	
KRT81		1.8383372	
SLAIN1		1.8376086	
TMEM71		1.8376034	
ST6GALNAC6		1.8369637	
AL512408.1		1.8349705	
SERPIND1		1.8340144	
TRIL		1.8318958	
POLR2F		1.8304071	
POU2F3		1.827664	
TNKS		1.8235486	
ETV1		1.8223857	
REN		1.8222938	
GAL3ST2		1.8190842	
TP53AIP1		1.8157487	
PPP2R2C		1.8133845	
SOD3		1.8082271	
AL451085.2		1.8081731	
DNAJC12		1.805224	
SERPINF2		1.8016242	
SCEL		1.7949332	
ATP2A3		1.790356	
AL391056.1		1.7879622	
PNMA2		1.7869086	
HTR3C		1.7863114	
BX640514.2		1.7819239	
HOTTIP		1.7785363	
MDM2		1.7747647	
SLC9A7		1.7730455	
MAP3K15		1.7730453	
RASSF6		1.7729954	
SEMA6B		1.7725749	
LEPROTL1		1.7697741	
AC098614.1		1.767876	
AC002553.2		1.7626919	
ZDHHC2		1.7612258	
MT-ND4L		1.7576216	
VSIG8		1.753535	
DCC		1.7502985	
FAM27C		1.7496579	
AL118558.4		1.7487906	
ARHGEF37		1.7486675	
GRIN1		1.747385	
HCG4P5		1.7419795	
WDR66		1.7382637	
ACER3		1.7357564	
LRRC73		1.7324036	
TNFRSF18		1.7292937	
DNAI1		1.7162356	
GSEC		1.7107095	
UQCRFS1P1		1.708864	
AP002498.1		1.7085314	
HTR4		1.7034112	
AC010970.1		1.7022587	
GPSM3		1.7007349	
DSC3		1.698512	
AC100810.1		1.6965528	
ADM		1.6960708	
MAN1A1		1.6956991	
AC090164.3		1.6939855	
FOXI3		1.6874287	
PRKAG2-AS1		1.6819874	
AKAP5		1.6783863	
TRDC		1.6756248	
TRIB2		1.6744871	
SLC7A2		1.674289	
CASC1		1.6710824	
SOBP		1.6698438	
PITPNM2		1.6682572	
AC109446.3		1.6657069	
PDE4B		1.6646639	
AC139887.4		1.6642032	
AL138762.1		1.6627402	
CFAP45		1.661019	
IRF4		1.6609176	
ATP6V0A4		1.6598686	
FBXO15		1.6597689	
AL353150.1		1.6555419	
ARHGAP22		1.6543798	
IFNG		1.6532704	
TSPAN4		1.6390475	
AC079834.2		1.6376189	
MYO3B		1.6372321	
AL450992.2		1.6361616	
LINC00707		1.6338555	
CPNE4		1.6227078	
AC004233.2		1.6192784	
ENTPD4		1.6190013	
MTMR9		1.6153173	
L1TD1		1.6141828	
LAX1		1.6076366	
C18orf32		1.6053848	
TDRD1		1.6024604	
ANXA1		1.6024581	
LINC00933		1.5996637	
CLC		1.5988314	
AC005840.2		1.5983465	
FAM92B		1.5938673	
HSP90B2P		1.5929569	
GSN		1.5929128	
C4BPA		1.5894558	
PKIB		1.5894445	
PYY		1.5861608	
CCNB3		1.5837708	
TPGS1		1.5827596	
PIP5KL1		1.5826038	
S100A8		1.5825346	
FP671120.4		1.5799189	
PHGR1		1.5797656	
AL133297.2		1.5767918	
FBXO16		1.576631	
DUOX1		1.5719432	
EMBP1		1.5707996	
AF001548.2		1.5649107	
LINC00336		1.5619725	
AC254633.1		1.5607138	
AC018541.1		1.5601697	
TLR3		1.559517	
HES2		1.5590988	
EGF		1.559059	
PRSS12		1.5586374	
CDC37L1-AS1		1.5570334	
PICSAR		1.5533234	
LINC01910		1.5526831	
CAPN9		1.5526518	
PRAMENP		1.5524858	
CDC37P1		1.5502619	
CASKIN1		1.5495701	
BX248409.1		1.546815	
TGFB3		1.546552	
AC024909.2		1.5464401	
LY96		1.5461667	
NCAN		1.5455115	
SGPP1		1.5450972	
PRKCG		1.5433038	
ICAM3		1.5421234	
PDCD1		1.5406307	
CFAP52		1.5403043	
PSAPL1		1.5402528	
OGDHL		1.537737	
AC084824.1		1.5376016	
LINC02577		1.5359284	
CYP1B1-AS1		1.5349278	
WWTR1		1.5319946	
UCN3		1.5319324	
GPR62		1.53117	
HSD17B3		1.5300933	
C4orf47		1.5297036	
SAA2-SAA4		1.5273004	
DEFB1		1.5272859	
GAS2L1		1.52699	
AL365361.1		1.5266654	
SLC9A3R2		1.5249385	
SMCO2		1.5238866	
RNF224		1.5222267	
BEAN1		1.5185612	
FAM169A		1.5139309	
SPAG4		1.5134503	
BIK		1.5126023	
NPIPB13		1.5112029	
HMCN2		1.5093881	
CCL13		1.5084894	
AC120498.10		1.5047102	
ALDH3A1		1.4984467	
OR5BA1P		1.4982629	
TNS2		1.4954095	
RHOBTB3		1.4943713	
SLC6A14		1.4932954	
CD27		1.4926168	
GABARAPL1		1.4919095	
ZG16		1.4893372	
INPP5F		1.486198	
